STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Chăn nuôi thú y HVN03,17.0,,,
2.0,Chương trình quốc tế HVN01,19.0,,,
3.0,Công nghệ kỹ thuật ô tô HVN05,22.0,,,
4.0,Công nghệ sinh học HVN07,24.5,,,
5.0,Công nghệ rau hoa quả và cảnh quan HVN06,23.0,,,
6.0,Công nghệ hóa học và môi trường HVN16,16.5,,,
7.0,"Công nghệ bảo quản, chế biến và quản lý chất lượng an toàn thực phẩm HVN09",18.0,,,
8.0,Công nghệ kỹ thuật cơ điện tử HVN04,24.0,,,
9.0,Công nghệ thông tin và truyền thông số HVN08,22.5,,,
10.0,Kế toán – Tài chính HVN10,19.0,,,
11.0,Khoa học đất - dinh dưỡng cây trồng HVN11,18.0,,,
12.0,Khoa học môi trường HVN15,17.0,,,
13.0,Kinh tế và quản lý HVN12,17.0,,,
14.0,Kinh tế nông nghiệp và Phát triển nông thôn HVN13,21.5,,,
15.0,Luật HVN14,22.0,,,
16.0,Ngôn ngữ Anh HVN17,20.0,,,
17.0,Nông nghiệp công nghệ cao HVN18,19.0,,,
18.0,Trồng trọt và Bảo vệ thực vật HVN02,17.0,,,
