STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bảo hiểm 7340204,26.0,,,
2.0,Bất động sản 7340116,26.55,,,
3.0,Các chương trình định hướng ứng dụng (POHE - tiếng Anh hệ số 2) POHE,34.25,,,Tiếng Anh hệ số 2
4.0,Công nghệ tài chính (BFT) EP09,25.75,,,
5.0,Công nghệ thông tin 7480201,26.6,,,
6.0,Đầu tư tài chính (BFI - tiếng Anh hệ số 2) EP10,34.55,,,Tiếng Anh hệ số 2
7.0,Định phí Bảo hiểm & Quản trị rủi ro (Actuary) học bằng tiếng Anh EP02,25.85,,,
8.0,Hệ thống thông tin 7340405,26.75,,,
9.0,Kế toán 7340301,27.15,,,
10.0,Kế toán tích hợp chứng chỉ quốc tế (ICAEW CFAB) EP04,26.5,,,
11.0,Khoa học dữ liệu trong Kinh tế & Kinh doanh (DSEB) EP03,25.8,,,
12.0,Khoa học quản lý 7340401,26.25,,,
13.0,Khoa học máy tính 7480101,26.4,,,
14.0,Khởi nghiệp và phát triển kinh doanh (BBAE) học bằng tiếng Anh (tiếng Anh hệ số 2) EP01,33.55,,,Tiếng Anh hệ số 2
15.0,Kiểm toán tích hợp chứng chỉ quốc tế (AUD-ICAEW) EP12,26.65,,,
16.0,Kiểm toán 7340302,27.55,,,
17.0,Kinh tế nông nghiệp 7620115,25.65,,,
18.0,Kinh tế 7310101,26.9,,,
19.0,Kinh doanh số (E-BDB) EP05,26.1,,,
20.0,Kinh tế phát triển 7310105,26.75,,,
21.0,Kinh tế quốc tế 7310106,27.75,,,
22.0,Kinh tế đầu tư 7310104,27.05,,,
23.0,Kinh tế tài nguyên thiên nhiên 7850102,25.6,,,
24.0,Kinh doanh thương mại 7340121,27.25,,,
25.0,Kinh tế học tài chính (FE) EP13,24.5,,,
26.0,Logistics và Quản lý chuỗi cung ứng tích hợp chứng chỉ quốc tế (LSIC) EP14,35.55,,,Tiếng Anh hệ số 2
27.0,Logistics và Quản lý chuỗi cung ứng 7510605,28.0,,,
28.0,Luật kinh tế 7380107,26.65,,,
29.0,Marketing (dạy bằng tiếng Anh) 7340115,27.55,,,
30.0,Ngân hàng CT1,26.95,,,
31.0,Ngành Luật 7380101,26.2,,,
32.0,Ngành Kinh doanh quốc tế 7340120,27.8,,,
33.0,Ngôn ngữ Anh 7220201,35.6,,,Tiếng Anh hệ số 2
34.0,Phân tích kinh doanh (BA) EP06,26.3,,,
35.0,Quản lý đất đai 7850103,25.85,,,
36.0,Quản lý công và chính sách học bằng tiếng Anh (EPMP) EPMP,25.35,,,
37.0,Quản trị doanh nghiệp 7340101,27.2,,,
38.0,Quản trị kinh doanh học bằng tiếng Anh (EBBA) EBBA,26.25,,,
39.0,Quản trị khách sạn 7810201,27.25,,,
40.0,Quản trị khách sạn quốc tế (IHME - tiếng Anh hệ số 2) EP11,24.5,,,
41.0,Quản lý dự án 7340409,26.75,,,
42.0,Quản trị dịch vụ du lịch và lữ hành 7810103,26.7,,,
43.0,Quản trị điều hành thông minh (E-SOM) EP07,26.0,,,
44.0,Quan hệ công chúng 7320108,27.6,,,
45.0,Quản trị nhân lực 7340404,27.1,,,
46.0,Quản trị chất lượng và Đổi mới (E-MQI) EP08,25.75,,,
47.0,Quản lý công 7340403,26.15,,,
48.0,Quản lý tài nguyên và môi trường 7850101,25.6,,,
49.0,Tài chính công CT2,26.55,,,
50.0,Tài chính doanh nghiệp CT3,27.25,,,
51.0,Thống kê kinh tế 7310107,26.45,,,
52.0,Thương mại điện tử 7340122,27.65,,,
53.0,Toán kinh tế 7310108,26.45,,,
