STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,"Chỉ huy, quản lý kỹ thuật (Nam - Phía Bắc) 7860220|21A00",25.7,,,Xét tuyển HSG bậc THPT Thí sinh Nữ miền Bắc
2.0,"Chỉ huy, quản lý kỹ thuật (Nam - Phía Bắc) 7860220|21A01",24.8,,,Xét tuyển HSG bậc THPT Thí sinh Nam miền Bắc
3.0,"Chỉ huy, quản lý kỹ thuật (Nữ - Phía Bắc) 7860220|11A00",25.0,,,Xét tuyển từ kết quả thi TNTHPT Thí sinh Nam miền Nam
4.0,"Chỉ huy, quản lý kỹ thuật (Nam - Phía Bắc) 7860220|21A01",25.7,,,Xét tuyển HSG bậc THPT Thí sinh Nữ miền Bắc
5.0,"Chỉ huy, quản lý kỹ thuật (Nữ - Phía Bắc) 7860220|11A01",25.0,,,Xét tuyển từ kết quả thi TNTHPT Thí sinh Nam miền Nam
6.0,"Chỉ huy, quản lý kỹ thuật (Nữ - Phía Bắc) 7860220|11A00",28.15,,,Xét tuyến từ kết quả thi TNTHPT Thí sinh Nữ miền Bắc
7.0,"Chỉ huy, quản lý kỹ thuật (Nam - Phía Bắc) 7860220|21A01",26.5,,,"Xét tuyển từ kết quả thi TNTHPT Thí sinh Nam miền Bắc; Thí sinh mức 26.5 điểm, Tiêu chí phụ 1: Điểm môn Toán >= 9; Tiêu chí phụ 2: Điểm môn Lý >= 8.5"
8.0,"Chỉ huy, quản lý kỹ thuật (Nữ - Phía Bắc) 7860220|11A01",28.15,,,Xét tuyến từ kết quả thi TNTHPT Thí sinh Nữ miền Bắc
9.0,"Chỉ huy, quản lý kỹ thuật (Nam - Phía Bắc) 7860220|21A00",26.5,,,"Xét tuyển từ kết quả thi TNTHPT Thí sinh Nam miền Bắc; Thí sinh mức 26.5 điểm, Tiêu chí phụ 1: Điểm môn Toán >= 9; Tiêu chí phụ 2: Điểm môn Lý >= 8.5"
10.0,"Chỉ huy, quản lý kỹ thuật (Nam - Phía Nam) 7860220|22A00",27.55,,,Xét tuyển từ kết quả thi TNTHPT Thí sinh Nữ miền Nam
11.0,"Chỉ huy, quản lý kỹ thuật (Nam - Phía Nam) 7860220|22A01",27.55,,,Xét tuyển từ kết quả thi TNTHPT Thí sinh Nữ miền Nam
12.0,"Chỉ huy, quản lý kỹ thuật (Nam - Phía Bắc) 7860220|21A00",24.8,,,Xét tuyển HSG bậc THPT Thí sinh Nam miền Bắc
13.0,"Chỉ huy, quản lý kỹ thuật (Nữ - Phía Bắc) 7860220|11A00",27.05,,,Xét tuyển HSG bậc THPT Thí sinh Nữ miền Nam
14.0,"Chỉ huy, quản lý kỹ thuật (Nữ - Phía Bắc) 7860220|11A01",27.05,,,Xét tuyển HSG bậc THPT Thí sinh Nữ miền Nam
