STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Chương trình tiên tiến ngành Kiến trúc 7580101_1,24.0,,,
2.0,Công nghệ thông tin 7480201,24.5,,,
3.0,Công nghệ kỹ thuật vật liệu xây dựng 7510105,19.0,,,
4.0,Công nghệ thông tin 7480201_1,25.25,,,
5.0,Công nghệ cơ điện công trình 7580210_2,20.0,,,
6.0,Điêu khắc 7210105,21.25,,,
7.0,Kiến trúc cảnh quan 7580102,26.5,,,
8.0,Kiến trúc 7580101,28.85,,,
9.0,Kinh tế xây dựng 7580301,22.5,,,
10.0,Kỹ thuật xây dựng 7580201,21.5,,,
11.0,Kỹ thuật xây dựng (Chuyên ngành Quản lý dự án xây dựng) 7580201_2,20.0,,,
12.0,Kỹ thuật cơ sở hạ tầng (Chuyên ngành Kỹ thuật môi trường đô thị) 7580210_1,20.0,,,
13.0,Kỹ thuật xây dựng công trình giao thông 7580205,20.0,,,
14.0,Kỹ thuật xây dựng (Chuyên ngành Xây dựng công trình ngầm đô thị) 7580201_1,19.0,,,
15.0,Kỹ thuật cơ sở hạ tầng 7580210,20.0,,,
16.0,Kỹ thuật cấp thoát nước 7580213,20.0,,,
17.0,Quản lý xây dựng 7580302,19.75,,,
18.0,Quản lý xây dựng (Chuyên ngành Quản lý bất động sản) 7580302_1,22.0,,,
19.0,Quy hoạch vùng và đô thị (Chuyên ngành thiết kế đô thị) 7580105_1,27.0,,,
20.0,Quy hoạch vùng và đô thị 7580105,27.5,,,
21.0,Thiết kế nội thất 7580108,21.25,,,
22.0,Thiết kế thời trang 7210404,21.0,,,
23.0,Thiết kế đồ họa 7210403,22.5,,,
