STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bảo hộ lao động 7850201,15.0,,,Tiêu chí phụ: TTNV<=6
2.0,Công tác xã hội 7760101,17.25,,,Tiêu chí phụ: TTNV<=2
3.0,Công tác xã hội 7760101|00C00,18.25,,,Tiêu chí phụ: TTNV<=2
4.0,Kế toán 7340301,18.8,,,Tiêu chí phụ: TTNV<=3
5.0,Ngành Luật 7380101|00C00,20.5,,,Tiêu chí phụ: TTNV<=3
6.0,Ngành Luật 7380101,19.5,,,Tiêu chí phụ: TTNV<=3
7.0,Quan hệ lao động (CN Quản lý Quan hệ lao động. CN Hành vi tổ chức) 7340408,15.0,,,Tiêu chí phụ: TTNV<=3
8.0,Quản trị doanh nghiệp 7340101,18.25,,,Tiêu chí phụ: TTNV<=2
9.0,Quản trị nhân lực 7340404,18.2,,,Tiêu chí phụ: TTNV<=4
10.0,Tài chính – Ngân hàng 7340201,18.2,,,Tiêu chí phụ: TTNV<=4
11.0,Xã hội học 7310301,15.25,,,Tiêu chí phụ: TTNV<=6
12.0,Xã hội học 7310301|00C00,16.25,,,Tiêu chí phụ: TTNV<=6
