STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bảo vệ thực vật 7620112,15.0,,,
2.0,Bất động sản 7340116,14.0,,,
3.0,Chăn nuôi 7620105,17.0,,,
4.0,Công nghệ chế biến lâm sản (Chất lượng cao) 7549001A,,,,
5.0,Công nghệ vật liệu 7510402,,,,
6.0,Công nghệ kỹ thuật cơ điện tử 7510203,14.0,,,
7.0,Công nghệ chế biến lâm sản 7549001,14.0,,,
8.0,Công nghệ sau thu hoạch 7540104,,,,
9.0,Công nghệ sinh học (chất lượng cao) 7420201A,,,,
10.0,Công nghệ sinh học 7420201,14.0,,,
11.0,Công nghệ kỹ thuật ô tô 7510205,14.0,,,
12.0,Công tác xã hội 7760101,14.0,,,
13.0,Du lịch sinh thái 7850104,14.0,,,
14.0,Hệ thống thông tin 7480104,14.0,,,
15.0,Kế toán 7340301,14.0,,,
16.0,Khoa học môi trường 7440301,14.0,,,
17.0,Khoa học cây trồng 7620110,15.0,,,
18.0,Khuyến nông 7620102,15.0,,,
19.0,Kiến trúc cảnh quan 7580102,14.0,,,
20.0,Kinh tế 7310101,14.0,,,
21.0,Kinh tế nông nghiệp 7620115,14.0,,,
22.0,Kỹ thuật xây dựng 7580201,14.0,,,
23.0,Kỹ thuật cơ khí (chuyên ngành Kỹ thuật cơ khí) 7520103A,,,,
24.0,Kỹ thuật cơ khí 7520103,14.0,,,
25.0,Lâm nghiệp (Tiếng Anh) 7620201A,,,,
26.0,Lâm sinh 7620205,14.0,,,
27.0,Lâm nghiệp đô thị 7620202,14.0,,,
28.0,Lâm học 7620201,14.0,,,
29.0,Quản lý tài nguyên và môi trường 7850101,14.0,,,
30.0,Quản lý tài nguyên thiên nhiên (T. Việt) 72908532,14.0,,,
31.0,Quản trị doanh nghiệp 7340101,14.0,,,
32.0,Quản lý đất đai 7850103,14.0,,,
33.0,Quản trị dịch vụ du lịch và lữ hành 7810103,14.0,,,
34.0,Quản lý tài nguyên thiên nhiên*(T.Anh) 72908532A,18.0,,,Môn Anh hệ số 2
35.0,Quản lý tài nguyên rừng 7620211,14.0,,,
36.0,Thiết kế công nghiệp 7210402,,,,
37.0,Thiết kế nội thất 7580108,14.0,,,
38.0,Thú y 7640101,14.0,,,
