STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Luật kinh tế 7380107,26.55,,9800000.0,
2.0,Luật kinh tế 7380107,26.8,,9800000.0,
3.0,Luật kinh tế 7380107,26.35,,9800000.0,
4.0,Luật Thương mại Quốc tế 7380109,26.05,,9800000.0,
5.0,Luật kinh tế 7380107,29.5,,9800000.0,
6.0,Luật Thương mại Quốc tế 7380109,24.95,,9800000.0,
7.0,Ngành Luật 7380101,25.8,,9800000.0,
8.0,Ngành Luật 7380101,25.35,,9800000.0,
9.0,Ngành Luật 7380101,28.75,,9800000.0,
10.0,Ngành Luật 7380101,24.95,,9800000.0,
11.0,Ngôn ngữ Anh 7220201,24.35,,9800000.0,
12.0,Ngôn ngữ Anh 7220201,25.45,,9800000.0,
