STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,20.0,,,
2.0,Công nghệ kỹ thuật hoá học 7510401,18.0,,,
3.0,Công nghệ thông tin (Chất lượng cao): Chương trình đào tạo đạt chuẩn kiểm định quốc tế AUN-QA 7480201_CLC,22.5,,,
4.0,Địa chất học 7480206 (trước 2023),15.0,,,
5.0,Địa chất học 7440201,15.0,,,
6.0,Du lịch địa chất 7810105,15.0,,,
7.0,Kế toán 7340301,18.0,,,
8.0,Khoa học Dữ liệu 7480109,18.0,,,
9.0,Kỹ thuật địa chất 7520501,15.0,,,
10.0,Kỹ thuật cơ điện tử 7520114,18.0,,,
11.0,Kỹ thuật tuyển khoáng 7520607,15.0,,,
12.0,Kỹ thuật điện 7520201,17.5,,,
13.0,Kỹ thuật cơ sở hạ tầng 7580211,15.0,,,
14.0,Kỹ thuật mỏ 7520601,15.0,,,
15.0,Kỹ thuật cơ khí động lực 7520116,17.0,,,
16.0,Kỹ thuật cơ khí 7520103,17.0,,,
17.0,Kỹ thuật xây dựng 7580201,15.0,,,
18.0,Kỹ thuật xây dựng công trình giao thông 7580205,15.0,,,
19.0,Kỹ thuật dầu khí 7520604,16.0,,,
20.0,Kỹ thuật hóa học 7520301,19.0,,,
21.0,Kỹ thuật trắc địa – bản đồ 7520503,15.0,,,
22.0,Kỹ thuật địa vật lý 7520502,16.0,,,
23.0,Ngành Kỹ thuật môi trường 7520320,15.0,,,
24.0,Ngành Kỹ thuật điều khiển & Tự động hóa 7520216,20.0,,,
25.0,Quản lý tài nguyên và môi trường 7850101,15.0,,,
26.0,Quản lý công nghiệp 7510601,15.0,,,
27.0,Quản lý đất đai 7850103,15.0,,,
28.0,Quản trị doanh nghiệp 7340101,18.5,,,
29.0,Tài chính – Ngân hàng 7340201,18.0,,,
30.0,Xây dựng công trình ngầm thành phố và Hệ thống tàu điện ngầm 7580204,15.0,,,
