STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thực phẩm 7540101,,,,
2.0,Công nghệ thông tin 7480201,20.5,,,Toán: 7. TTNV=2
3.0,Công nghệ kỹ thuật điều khiển và tự động hóa 7510303,,,,
4.0,Công nghệ sinh học 7420201,15.5,,,Hóa: 5.5. TTNV=3
5.0,Điện tử - viễn thông 7510302,20.25,,,Lý: 4.5. TTNV=2
6.0,Kế toán 7340301,21.0,,,Toán: 7.6. TTNV=5
7.0,Kiến trúc 7580101,21.75,,,Vẽ MT/Hình họa: 5.5. TTNV=1
8.0,Luật quốc tế 7380108,19.25,,,Toán: 7.8. TTNV=3
9.0,Luật kinh tế 7380107,20.5,,,Toán: 7.8. TTNV=3
10.0,Ngành Luật 7380101,19.75,,,Toán: 6.8. TTNV=7
11.0,Ngôn ngữ Anh 7220201,29.33,,,Tiếng Anh: 7.6. TTNV=2
12.0,Ngôn ngữ Trung Quốc 7220204,28.75,,,Tiếng Anh/ Tiếng Trung: 7.4. TTNV=6
13.0,Quản trị doanh nghiệp 7340101,21.25,,,Toán/Tiếng Anh:6. TTNV=2
14.0,Quản trị dịch vụ du lịch và lữ hành 7810103,,,,
15.0,Tài chính – Ngân hàng 7340201,20.0,,,Toán: 6.2. TTNV=4
16.0,Thiết kế công nghiệp 7210402,20.5,,,Hình họa: 7.5. TTNV=1
