STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,22.15,,,
2.0,Kế toán 7340301,28.65,,,Tiếng Anh hệ số 2
3.0,Marketing (dạy bằng tiếng Anh) 7340115,31.4,,,Tiếng Anh hệ số 2
4.0,Ngôn ngữ Anh 7220201,33.23,,,Tiếng Anh hệ số 2
5.0,Ngôn ngữ Tây Ban Nha 7220206,29.6,,,Tiếng Anh hệ số 2
6.0,Ngôn ngữ Italia 7220208,27.85,,,Tiếng Anh hệ số 2
7.0,Ngôn ngữ Pháp 7220203,30.55,,,Tiếng Anh hệ số 2
8.0,Ngôn ngữ Hàn Quốc 7220210,33.85,,,Tiếng Anh hệ số 2
9.0,Ngôn ngữ Nga 7220202,25.88,,,Tiếng Anh hệ số 2
10.0,Ngôn ngữ Bồ Đào Nha 7220207,20.03,,,Tiếng Anh hệ số 2
11.0,Ngôn ngữ Nhật 7220209,29.15,,,Tiếng Anh hệ số 2
12.0,Ngôn ngữ Đức 7220205,30.4,,,Tiếng Anh hệ số 2
13.0,Ngôn ngữ Trung Quốc - Chất lượng cao (CLC) 7220204 CLC,31.7,,,Tiếng Anh hệ số 2
14.0,Ngôn ngữ Hàn Quốc - Chất lượng cao (CLC) 7220210 CLC,32.15,,,Tiếng Anh hệ số 2
15.0,Ngôn ngữ Trung Quốc 7220204,32.97,,,Tiếng Anh hệ số 2
16.0,Ngôn ngữ Italia - Chất lượng cao (CLC) 7220208 CLC,22.42,,,Tiếng Anh hệ số 2
17.0,Quản trị doanh nghiệp 7340101,31.1,,,Tiếng Anh hệ số 2
18.0,Quản trị dịch vụ du lịch và lữ hành 7810103,32.2,,,Tiếng Anh hệ số 2
19.0,Tài chính – Ngân hàng 7340201,28.98,,,Tiếng Anh hệ số 2
20.0,Tiếng Việt & Văn hóa Việt Nam 7220101,,,,
21.0,Truyền thông đa phương tiện 7320104,22.8,,,
22.0,Truyền thông doanh nghiệp 7320109,28.25,,,Tiếng Anh hệ số 2
