STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,CLC Kế toán ACT01,34.0,"A00, A01, D01, D07",37000000.0,
2.0,CLC Quản trị kinh doanh BUS01,33.9,"A00, A01, D01, D07",37000000.0,
3.0,CLC Ngân hàng BANK01,34.0,"A00, A01, D01, D07",37000000.0,
4.0,CLC Tài chính FIN01,34.2,"A00, A01, D01, D07",37000000.0,
5.0,Công nghệ Tài chính FIN03,26.0,"A00, A01, D01, D07",25000000.0,
6.0,Công nghệ thông tin IT01,25.8,"A00, A01, D01, D07",26500000.0,
7.0,Hệ thống thông tin quản lý MIS01,26.0,"A00, A01, D01, D07",26000000.0,
8.0,Kế toán ACT03,24.0,"A00, A01, D01, D07",,
9.0,Kế toán ACT02,26.25,"A00, A01, D01, D07",25000000.0,
10.0,Kiểm toán ACT04,26.5,"A00, A01, D01, D07",25000000.0,
11.0,Kinh doanh quốc tế IB01,27.0,"A01, D01, D07, D09",25000000.0,
12.0,Kinh doanh quốc tế CLC IB04,33.9,"A01, D01, D07, D09",37000000.0,
13.0,Kinh tế ECON01,26.05,"A00, A01, D01, D07",25000000.0,
14.0,"Kinh doanh quốc tế liên kết Coventry, song bằng IB03",24.2,"A00, A01, D01, D07",,
15.0,Kinh tế đầu tư CLC ECON02,34.0,"A01, D01, D07, D09",37000000.0,
16.0,Logistics và Quản lý chuỗi cung ứng IB02,26.5,"A01, D01, D07, D09",25000000.0,
17.0,Luật kinh tế LAW02,28.13,"C00, C03, D14, D15",25000000.0,
18.0,Luật kinh tế LAW01,25.9,"A00, A01, D01, D07",25000000.0,
19.0,Marketing số CLC BUS06,34.0,"A00, A01, D01, D07",37000000.0,
20.0,"Marketing số liên kết Coventry, song bằng BUS05",24.8,"A00, A01, D01, D07",,
21.0,Ngân hàng BANK02,26.2,"A00, A01, D01, D07",25000000.0,
22.0,Ngân hàng và Tài chính quốc tế CLC BANK06,33.8,"A00, A01, D01, D07",37000000.0,
23.0,Ngân hàng số BANK03,26.13,"A00, A01, D01, D07",25000000.0,
24.0,"Ngân hàng và Tài chính quốc tế liên kết Coventry, song bằng BANK05",24.0,"A00, A01, D01, D07",,
25.0,Ngôn ngữ Anh FL01,25.8,"A01, D01, D07, D09",26000000.0,
26.0,"Quản trị kinh doanh Liên kết City U, song bằng BUS04",23.0,"A00, A01, D01, D07",,
27.0,Quản trị kinh doanh BUS02,26.33,"A00, A01, D01, D07",25000000.0,
28.0,Quản trị du lịch BUS03,25.6,"A00, A01, D01, D07",25000000.0,
29.0,Tài chính FIN02,26.45,"A00, A01, D01, D07",25000000.0,
30.0,"Tài chính - Ngân hàng liên kết Sunderland, song bằng BANK04",24.5,"A00, A01, D01, D07",,
