STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,ĐT Trinh sát Kỹ thuật Nam miền Nam 7860231|22000,20.25,,,"Nam - phía Nam - A00, A01"
2.0,ĐT Trinh sát Kỹ thuật Nam miền Nam 7860231,21.25,,,"Nam - phía Bắc - A00, A01"
3.0,Ngôn ngữ Trung Quốc 7220204,21.78,,,"Nam - D01, D04"
4.0,Ngôn ngữ Nga 7220202|10000,25.78,,,"Nữ - D01, D02"
5.0,Ngôn ngữ Anh (Nữ) 7220201|10D01,27.09,,,Nữ - D01
6.0,Ngôn ngữ Nga 7220202,18.64,,,"Nam - D01, D02"
7.0,Ngôn ngữ Trung Quốc 7220204|10000,25.91,,,"Nữ - D01, D04"
8.0,Ngôn ngữ Anh 7220201,23.98,,,Nam - D01
9.0,Quan hệ quốc tế 7310206,23.54,,,Nam - D01; Tiêu chí phụ: Tiếng Anh >= 8.6
10.0,Quan hệ quốc tếQuan hệ quốc tế (Nữ) 7310206|10D01,24.61,,,Nữ - D01
