STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,ĐT Trinh sát Kỹ thuật (Nam - Phía Nam) 7860231|22A01,24.6,,,
2.0,ĐT Trinh sát Kỹ thuật (Nam -Phía Nam) 7860231|22A00,24.6,,,Thí sinh Nam miền Nam
3.0,ĐT Trinh sát Kỹ thuật (Nam -Phía Bắc) 7860231|21A01,26.25,,,
4.0,ĐT Trinh sát Kỹ thuật (Nam - Phía Bắc) 7860231|21A00,26.25,,,Thí sinh Nam miền Bắc
5.0,Ngôn ngữ Nga (Nữ) 7220202|10D01,27.61,,,Xét tuyển từ kết quả thi TNTHPT thí sinh nữ toàn quốc
6.0,Ngôn ngữ Nga (Nam) 7220202|20D02,24.76,,,Thí sinh Nam toàn quốc
7.0,Ngôn ngữ Anh (Nam) 7220201|20D01,24.33,,,Xét tuyển HSG bậc THPT thí sinh Nữ toàn quốc
8.0,Ngôn ngữ Trung Quốc 7220204|10D01,28.1,,,Xét tuyển từ kết quả thi TNTHPT thí sinh nữ toàn quốc
9.0,Ngôn ngữ Trung Quốc (Nam) 7220204|20D04,24.54,,,Thí sinh Nam toàn quốc
10.0,Ngôn ngữ Anh (Nam) 7220201|20D01,25.19,,,Xét tuyển từ kết quả thi TNTHPT thí sinh Nam (Toàn quốc)
11.0,Ngôn ngữ Trung Quốc (Nam) 7220204|20D01,24.54,,,Thí sinh Nam toàn quốc
12.0,Ngôn ngữ Nga (Nữ) 7220202|10D02,27.61,,,Xét tuyển từ kết quả thi TNTHPT thí sinh nữ toàn quốc
13.0,Ngôn ngữ Nga (Nam) 7220202|20D01,24.76,,,Thí sinh Nam toàn quốc
14.0,Ngôn ngữ Anh (Nữ) 7220201|10D01,27.9,,,Xét tuyển từ kết quả thi TNTHPT thí sinh nữ toàn quốc
15.0,Ngôn ngữ Trung Quốc (Nữ) 7220204|10D04,28.1,,,Xét tuyển từ kết quả thi TNTHPT thí sinh nữ toàn quốc
16.0,Quan hệ quốc tếQuan hệ quốc tế (Nữ) 7310206|10D01,28.0,,,Thí sinh nữ toàn quốc
17.0,Quan hệ quốc tế (Nam) 7310206|20D01,24.74,,,Thí sinh Nam toàn quốc
