STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Kinh doanh quốc tế và Quản trị kinh doanh NTH02,28.45,,,Các tổ hợp A01;D01;D03;D05;D06;D07 chênh lệch giảm 0.5 điểm
2.0,Kinh doanh quốc tế và Quản trị kinh doanh NTH02,27.95,,,Các tổ hợp A01;D01;D03;D05;D06;D07 chênh lệch giảm 0.5 điểm
3.0,Ngôn ngữ Trung NTH06|01D04,37.35,,,Môn ngoại ngữ nhân hệ số 2; tổ hợp D04 chênh lệch giảm 2đ
4.0,Ngôn ngữ Pháp NTH05,36.75,,,Môn ngoại ngữ nhân hệ số 2; tổ hợp D03 chênh lệch giảm 2đ
5.0,Ngôn ngữ Nhật NTH07,35.2,,,Môn ngoại ngữ nhân hệ số 2; tổ hợp D06 chênh lệch giảm 2đ
6.0,Ngôn ngữ Nhật NTH07,37.2,,,Môn ngoại ngữ nhân hệ số 2; tổ hợp D06 chênh lệch giảm 2đ
7.0,Ngôn ngữ Anh NTH04,37.55,,,Môn ngoại ngữ nhân hệ số 2
8.0,Ngôn ngữ Trung NTH06|01D01,39.35,,,Môn ngoại ngữ nhân hệ số 2; tổ hợp D04 chênh lệch giảm 2đ
9.0,Ngôn ngữ Pháp NTH05,34.75,,,Môn ngoại ngữ nhân hệ số 2; tổ hợp D03 chênh lệch giảm 2đ
10.0,Nhóm ngành luật NTH01-01,27.55,,,Các tổ hợp A01;D01;D03;D05;D06;D07 chênh lệch giảm 0.5 điểm
11.0,Nhóm ngành luật NTH01-01,28.05,,,Các tổ hợp A01;D01;D03;D05;D06;D07 chênh lệch giảm 0.5 điểm
12.0,Nhóm ngành Kinh tế; Kinh tế quốc tế NTH01-02,28.0,,,Các tổ hợp A01;D01;D03;D05;D06;D07 chênh lệch giảm 0.5 điểm
13.0,Nhóm ngành Kinh tế; Kinh tế quốc tế NTH01-02,28.5,,,Các tổ hợp A01;D01;D03;D05;D06;D07 chênh lệch giảm 0.5 điểm
14.0,Tài chính - Ngân hàng và Kế toán NTH03,28.25,,,Các tổ hợp A01;D01;D03;D05;D06;D07 chênh lệch giảm 0.5 điểm
15.0,Tài chính - Ngân hàng và Kế toán NTH03,27.75,,,Các tổ hợp A01;D01;D03;D05;D06;D07 chênh lệch giảm 0.5 điểm
