STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ kỹ thuật xây dựng dân dụng và công nghiệp 7510102,14.0,,,Điểm chuẩn học bạ lấy 18 điểm
2.0,Công nghệ thông tin 7480201,14.0,,,Điểm chuẩn học bạ lấy 18 điểm
3.0,Kế toán 7340301,14.0,,,Điểm chuẩn học bạ lấy 18 điểm
4.0,Kiến trúc 7580101,14.0,,,Điểm chuẩn học bạ lấy 18 điểm
5.0,Ngành Kỹ thuật môi trường 7520320,14.0,,,Điểm chuẩn học bạ lấy 18 điểm
6.0,Ngôn ngữ Nhật 7220209,14.0,,,Điểm chuẩn học bạ lấy 18 điểm
7.0,Quan hệ công chúng 7320108,14.0,,,Điểm chuẩn học bạ lấy 18 điểm
8.0,Quản trị doanh nghiệp 7340101,14.0,,,Điểm chuẩn học bạ lấy 18 điểm
9.0,Tài chính – Ngân hàng 7340201,14.0,,,Điểm chuẩn học bạ lấy 18 điểm
10.0,Thiết kế đồ họa 7210403,14.0,,,Điểm chuẩn học bạ lấy 18 điểm
11.0,Thiết kế nội thất 7580108,14.0,,,Điểm chuẩn học bạ lấy 18 điểm
