STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Kế toán (CLC) QHE42,,,44000000.0,
2.0,Kế toán (CLC) QHE42,33.1,"A01, D01, D09, D10",44000000.0,
3.0,Kinh tế quốc tế (CLC) QHE43,,,44000000.0,
4.0,Kinh tế phát triển (CLC) QHE45,,,44000000.0,
5.0,Kinh tế (CLC) QHE44,33.23,"A01, D01, D09, D10",44000000.0,
6.0,Kinh tế phát triển (CLC) QHE45,33.35,"A01, D01, D09, D10",44000000.0,
7.0,Kinh tế (CLC) QHE44,,,44000000.0,
8.0,Kinh tế quốc tế (CLC) QHE43,33.43,"A01, D01, D09, D10",44000000.0,
9.0,Quản trị kinh doanh (CLC) QHE40,,,44000000.0,
10.0,Quản trị kinh doanh (CLC) QHE40,33.33,"A01, D01, D09, D10",44000000.0,
11.0,Tài chính - Ngân hàng (CLC) QHE41,33.62,"A01, D01, D09, D10",44000000.0,
12.0,Tài chính - Ngân hàng (CLC) QHE41,,,44000000.0,
