STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Kinh tế – Tài chính*** 7903124QT,,,62500000.0,
2.0,Ngôn ngữ Nga 7220202,,,21000000.0,
3.0,Ngôn ngữ Pháp 7220203,34.53,"D01, D03, D78, D90",38000000.0,
4.0,Ngôn ngữ Nhật 7220209,,,38000000.0,
5.0,Ngôn ngữ Trung Quốc 7220204,,,38000000.0,
6.0,Ngôn ngữ Đức 7220205,35.82,"D01, D05, D78, D90",38000000.0,
7.0,Ngôn ngữ Hàn Quốc 7220210,36.38,"D01, D78, D90",38000000.0,
8.0,Ngôn ngữ Đức 7220205,,,38000000.0,
9.0,Ngôn ngữ Pháp 7220203,,,38000000.0,
10.0,Ngôn ngữ Trung Quốc 7220204,37.0,"D01, D04, D78, D90",38000000.0,
11.0,Ngôn ngữ Ả Rập 7220211,,,21000000.0,
12.0,Ngôn ngữ Anh 7220201,,,38000000.0,
13.0,Ngôn ngữ Nga 7220202,34.24,"D01, D02, D78, D90",21000000.0,
14.0,Ngôn ngữ Hàn Quốc 7220210,,,38000000.0,
15.0,Ngôn ngữ Nhật 7220209,35.4,"D01, D06, D78, D90",38000000.0,
16.0,Ngôn ngữ Ả Rập 7220211,33.42,"D01, D14, D78, D90",21000000.0,
17.0,Ngôn ngữ Anh 7220201,38.45,"D01, D14, D78, D90",38000000.0,
18.0,Song ngành Kinh tế - Tài chính 7903124,26.75,"D01, D78, D90",62500000.0,
19.0,Sư phạm Tiếng Trung Quốc 7140234,,,14100000.0,
20.0,Sư phạm Tiếng Đức 7140235,36.94,"D01, D05, D78, D90",14100000.0,
21.0,Sư phạm Tiếng Anh 7140231,38.45,"D01, D14, D78, D90",14100000.0,
22.0,Sư phạm tiếng Nhật 7140236,,,14100000.0,
23.0,Sư phạm tiếng Hàn Quốc 7140237,37.31,"D01, D78, D90",14100000.0,
24.0,Sư phạm Tiếng Đức 7140235,,,14100000.0,
25.0,Sư phạm tiếng Nhật 7140236,37.21,"D01, D06, D78, D90",14100000.0,
26.0,Sư phạm Tiếng Anh 7140231,,,14100000.0,
27.0,Sư phạm Tiếng Trung Quốc 7140234,37.85,"D01, D04, D78, D90",14100000.0,
28.0,Sư phạm tiếng Hàn Quốc 7140237,,,14100000.0,
29.0,Văn hóa và truyền thông xuyên quốc gia 7220212QTD,36.5,"D01, D14, D78, D90",15000000.0,
30.0,Văn hóa và truyền thông xuyên quốc gia 7220212QTD,,,15000000.0,
