STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Cơ kỹ thuật CN4,25.0,,26100000.0,
2.0,Công nghệ thông tin định hướng thị trường Nhật Bản CN16,27.5,,26100000.0,
3.0,Công nghệ kỹ thuật cơ điện tử CN6,23.0,,35000000.0,Chương trình Chất lượng cao
4.0,Công nghệ Thông tin CN1,29.15,,26100000.0,
5.0,Công nghệ kỹ thuật điện tử - viễn thông CN9,23.0,,35000000.0,Chương trình Chất lượng cao
6.0,Công nghệ Hàng không vũ trụ CN7,23.0,,21750000.0,
7.0,Công nghệ kỹ thuật xây dựng CN5,22.0,,21750000.0,
8.0,Công nghệ nông nghiệp* CN10,22.0,,17400000.0,
9.0,Hệ thống thông tin CN14,25.0,,35000000.0,Chương trình Chất lượng cao
10.0,Khoa học máy tính CN8,27.25,,35000000.0,Chương trình Chất lượng cao
11.0,Kỹ thuật Robot CN17,23.0,,26100000.0,
12.0,Kỹ thuật năng lượng CN13,22.0,,26100000.0,
13.0,Kỹ thuật điều khiển và tự động hóa CN11,27.25,,26100000.0,
14.0,Mạng máy tính và truyền thông dữ liệu CN15,24.0,,35000000.0,Chương trình Chất lượng cao
15.0,Máy tính và Robot CN2,27.5,,26100000.0,
16.0,Trí tuệ nhân tạo CN12,27.0,,26100000.0,
17.0,Vật lý kỹ thuật CN3,23.0,,26100000.0,
