STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Luật chất lượng cao đáp ứng Thông tư 23 7380101CLC,26.52,D78,28200000.0,
2.0,Luật Thương mại Quốc tế 7380109,,,23970000.0,
3.0,Luật kinh doanh 7380110,25.8,"A00, A01, D01, D78, D82",25380000.0,
4.0,Luật Thương mại Quốc tế 7380109,26.5,"A00, A01, D01, D78, D82",23970000.0,
5.0,Luật chất lượng cao đáp ứng Thông tư 23 7380101CLC,25.4,D01,28200000.0,
6.0,Luật chất lượng cao đáp ứng Thông tư 23 7380101CLC,,,28200000.0,
7.0,Luật kinh doanh 7380110,,,25380000.0,
8.0,Luật chất lượng cao đáp ứng Thông tư 23 7380101CLC,24.5,A01,28200000.0,
9.0,Ngành Luật 7380101,24.5,A01,23970000.0,
10.0,Ngành Luật 7380101,26.52,D78,23970000.0,
11.0,Ngành Luật 7380101,28.36,C00,23970000.0,
12.0,Ngành Luật 7380101,25.0,"D03, D82",23970000.0,
13.0,Ngành Luật 7380101,25.4,D01,23970000.0,
