STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ tài chính và Kinh doanh số QHQ11,23.3,"A00, A01, D01, D03, D06, D07, D23, D24",41000000.0,
2.0,Công nghệ thông tin ứng dụng QHQ10,22.75,"A00, A01, D01, D03, D06, D07, D23, D24",41000000.0,
3.0,Công nghệ thông tin ứng dụng QHQ10,,,41000000.0,
4.0,Hệ thống thông tin quản lý QHQ03,22.35,"A00, A01, D01, D03, D06",48000000.0,
5.0,Hệ thống thông tin quản lý QHQ03,,,48000000.0,
6.0,Kế toán. Phân tích và Kiểm toán QHQ02,22.75,"A00, A01, D01, D03, D06",50600000.0,
7.0,Kế toán. Phân tích và Kiểm toán QHQ02,,,50600000.0,
8.0,Kinh doanh quốc tế QHQ01,,,50600000.0,
9.0,Kinh doanh quốc tế QHQ01,23.5,"A00, A01, D01, D03, D06",50600000.0,
10.0,Kỹ thuật hệ thống công nghiệp và Logistics QHQ12,,,41000000.0,
11.0,Kỹ thuật hệ thống công nghiệp và Logistics QHQ12,23.25,"A00, A01, D01, D03, D06, D07, D23, D24",41000000.0,
12.0,Marketing (CTĐT cấp 2 bằng ĐH của ĐHQGHN và trường ĐH HELP - Malaysia) QHQ06,,,80500000.0,
13.0,Marketing (CTĐT cấp 2 bằng ĐH của ĐHQGHN và trường ĐH HELP - Malaysia) QHQ06,21.5,"A00, A01, D01, D03, D06, D96, D97",80500000.0,
14.0,Ngôn ngữ Anh(chuyên sâu Kinh doanh và CNTT - CTĐT CLC) QHQ09,25.15,"A01, D01, D78, D90",37500000.0,
15.0,Ngôn ngữ Anh(chuyên sâu Kinh doanh và CNTT - CTĐT CLC) QHQ09,,,37500000.0,
16.0,Phân tích dữ liệu kinh doanh QHQ05,,,35250000.0,
17.0,Phân tích dữ liệu kinh doanh QHQ05,24.05,"A00, A01, D01, D03, D06, D07, D23, D25",35250000.0,
18.0,Quản lý (CTĐT cấp 2 bằng ĐH của ĐHQGHN và trường ĐH Keuka – Hoa Kỳ) QHQ07,,,,
19.0,Tin học và Kỹ thuật máy tính QHQ04,,,48000000.0,
20.0,Tin học và Kỹ thuật máy tính QHQ04,21.0,"A00, A01, D01, D03, D06, D07, D23, D24",48000000.0,
21.0,Tự động hoá và tin học (CTĐT CLC) QHQ08,21.5,"A00, A01, D01, D03, D06, D07, D23, D24",41000000.0,
22.0,Tự động hoá và tin học (CTĐT CLC) QHQ08,,,41000000.0,
