STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Giáo dục Tiểu học GD4,28.89,"A00, B00, C00, D01",14100000.0,
2.0,Giáo dục mầm non GD5,27.85,"A00, B00, C00, D01",14100000.0,
3.0,Giáo dục mầm non GD5,,,14100000.0,
4.0,Giáo dục Tiểu học GD4,,,14100000.0,
5.0,Quản trị trường học GD3,,,14100000.0,
6.0,Quản trị trường học GD3,24.92,"A00, B00, C00, D01",14100000.0,
7.0,Sư phạm Sinh học GD1,,,14100000.0,
8.0,Sư phạm Sinh học GD1,26.58,"A00, A01, B00, D01",14100000.0,
9.0,Sư phạm Lịch sử GD2,,,14100000.0,
10.0,Sư phạm Lịch sử GD2,28.76,"C00, D01, D14, D15",14100000.0,
