STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ kỹ thuật hoá học QHT07,,,37000000.0,
2.0,Công nghệ sinh học QHT09,,,37000000.0,
3.0,Công nghệ kỹ thuật môi trường QHT15,21.0,"A00, A01, B00, D07",35000000.0,
4.0,Công nghệ kỹ thuật hoá học QHT07,24.8,"A00, B00, C02, D07",37000000.0,
5.0,Công nghệ kỹ thuật môi trường QHT15,,,35000000.0,
6.0,Công nghệ kỹ thuật hạt nhân QHT05,24.3,"A00, A01, A02, C01",27000000.0,
7.0,Công nghệ kỹ thuật hạt nhân QHT05,,,27000000.0,
8.0,Công nghệ sinh học QHT09,24.45,"A00, A02, B00, B08",37000000.0,
9.0,Địa chất học QHT18,,,15200000.0,
10.0,Địa lí tự nhiên QHT10,,,15200000.0,
11.0,Địa lí tự nhiên QHT10,22.4,"A00, A01, B00, D10",15200000.0,
12.0,Địa chất học QHT18,20.0,"A00, A01, D07, D10",15200000.0,
13.0,Hải dương học QHT17,20.0,"A00, A01, B00, D07",15200000.0,
14.0,Hải dương học QHT17,,,15200000.0,
15.0,Hoá dược** QHT43,25.65,"A00, B00, C02, D07",37000000.0,
16.0,Hoá học QHT06,25.15,"A00, B00, C02, D07",37000000.0,
17.0,Hoá dược** QHT43,,,37000000.0,
18.0,Hoá học QHT06,,,37000000.0,
19.0,Khí tượng và khí hậu học QHT16,,,15200000.0,
20.0,Khí tượng và khí hậu học QHT16,20.8,"A00, A01, B00, D07",15200000.0,
21.0,Khoa học máy tính và thông tin* QHT98,,,37000000.0,
22.0,Khoa học dữ liệu QHT93,35.0,"A00, A01, D07, D08",16400000.0,
23.0,Khoa học và công nghệ thực phẩm QHT96,24.6,"A00, A01, B00, D07",16400000.0,
24.0,Khoa học vật liệu QHT04,,,27000000.0,
25.0,Khoa học dữ liệu QHT93,,,16400000.0,
26.0,Khoa học máy tính và thông tin* QHT98,34.7,"A00, A01, D07, D08",37000000.0,
27.0,Khoa học môi trường QHT13,20.0,"A00, A01, B00, D07",27000000.0,
28.0,Khoa học và công nghệ thực phẩm QHT96,,,16400000.0,
29.0,Khoa học thông tin địa không gian* QHT91,,,15200000.0,
30.0,Khoa học môi trường QHT13,,,27000000.0,
31.0,Khoa học thông tin địa không gian* QHT91,24.0,"A00, A01, B00, D10",15200000.0,
32.0,Khoa học vật liệu QHT04,24.6,"A00, A01, A02, C01",27000000.0,
33.0,Kỹ thuật điện tử và tin học QHT94,,,16400000.0,
34.0,Kỹ thuật điện tử và tin học QHT94,26.25,"A00, A01, A02, C01",16400000.0,
35.0,"Môi trường, Sức khỏe và An toàn* QHT82",20.0,"A00, A01, B00, D07",15000000.0,
36.0,"Môi trường, Sức khỏe và An toàn* QHT82",,,15000000.0,
37.0,Quản lý đất đai QHT12,23.0,"A00, A01, B00, D10",27000000.0,
38.0,Quản lý đất đai QHT12,,,27000000.0,
39.0,Quản lý phát triển đô thị và bất động sản QHT95,24.0,"A00, A01, B00, D10",15000000.0,
40.0,Quản lý tài nguyên và môi trường QHT20,21.5,"A00, A01, D07, D10",27000000.0,
41.0,Quản lý phát triển đô thị và bất động sản QHT95,,,15000000.0,
42.0,Quản lý tài nguyên và môi trường QHT20,,,27000000.0,
43.0,Sinh dược học QHT81,,,15200000.0,
44.0,Sinh học QHT08,23.35,"A00, A02, B00, B08",37000000.0,
45.0,Sinh học QHT08,,,37000000.0,
46.0,Sinh dược học QHT81,24.25,"A00, A02, B00, B08",15200000.0,
47.0,Tài nguyên và môi trường nước* QHT92,,,15200000.0,
48.0,Tài nguyên và môi trường nước* QHT92,20.0,"A00, A01, B00, D07",15200000.0,
49.0,Toán tin QHT02,,,27000000.0,
50.0,Toán học QHT01,34.45,"A00, A01, D07, D08",16400000.0,
51.0,Toán học QHT01,,,16400000.0,
52.0,Toán tin QHT02,34.45,"A00, A01, D07, D08",27000000.0,
53.0,Vật lí học QHT03,,,27000000.0,
54.0,Vật lí học QHT03,25.3,"A00, A01, A02, C01",27000000.0,
