STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Báo chí ** CTĐT CLC TT23 QHX40,25.0,,35000000.0,
2.0,Báo chí QHX01,25.75,,12000000.0,
3.0,Báo chí QHX01,26.0,,12000000.0,
4.0,Báo chí ** CTĐT CLC TT23 QHX40,25.25,,35000000.0,
5.0,Báo chí QHX01,27.25,,12000000.0,
6.0,Báo chí ** CTĐT CLC TT23 QHX40,28.5,,35000000.0,
7.0,Báo chí QHX01,26.4,,12000000.0,
8.0,Báo chí ** CTĐT CLC TT23 QHX40,23.5,,35000000.0,
9.0,Báo chí QHX01,29.9,,12000000.0,
10.0,Chính trị hoc QHX02,23.0,,16000000.0,
11.0,Chính trị hoc QHX02,21.5,,16000000.0,
12.0,Chính trị hoc QHX02,24.5,,16000000.0,
13.0,Chính trị hoc QHX02,24.25,,16000000.0,
14.0,Chính trị hoc QHX02,26.75,,16000000.0,
15.0,Công tác xã hội QHX03,23.5,,12000000.0,
16.0,Công tác xã hội QHX03,23.0,,12000000.0,
17.0,Công tác xã hội QHX03,24.75,,12000000.0,
18.0,Công tác xã hội QHX03,27.75,,12000000.0,
19.0,Công tác xã hội QHX03,25.0,,12000000.0,
20.0,Công tác xã hội QHX03,22.5,,12000000.0,
21.0,Đông phương học QHX05,26.75,,12000000.0,
22.0,Đông phương học QHX05,29.95,,12000000.0,
23.0,Đông Nam Á học QHX04,24.25,,12000000.0,
24.0,Đông Nam Á học QHX04,22.0,,12000000.0,
25.0,Đông phương học QHX05,26.25,,12000000.0,
26.0,Đông phương học QHX05,26.35,,12000000.0,
27.0,Đông Nam Á học QHX04,24.0,,12000000.0,
28.0,Hán Nôm QHX06,24.5,,12000000.0,
29.0,Hàn Quốc học QHX26,27.25,,12000000.0,
30.0,Hán Nôm QHX06,24.0,,12000000.0,
31.0,Hàn Quốc học QHX26,29.95,,12000000.0,
32.0,Hán Nôm QHX06,23.0,,12000000.0,
33.0,Hán Nôm QHX06,27.5,,12000000.0,
34.0,Hàn Quốc học QHX26,26.85,,12000000.0,
35.0,Hàn Quốc học QHX26,26.7,,12000000.0,
36.0,Hàn Quốc học QHX26,25.55,,12000000.0,
37.0,Khoa học quản lý ** CTĐT CLC TT23 QHX41,22.8,,35000000.0,
38.0,Khoa học quản lý QHX07,25.5,,12000000.0,
39.0,Khoa học quản lý QHX07,26.0,,12000000.0,
40.0,Khoa học quản lý QHX07,24.0,,12000000.0,
41.0,Khoa học quản lý ** CTĐT CLC TT23 QHX41,22.9,,35000000.0,
42.0,Khoa học quản lý ** CTĐT CLC TT23 QHX41,22.0,,35000000.0,
43.0,Khoa học quản lý QHX07,29.0,,12000000.0,
44.0,Khoa học quản lý ** CTĐT CLC TT23 QHX41,26.75,,35000000.0,
45.0,Khoa học quản lý QHX07,25.0,,12000000.0,
46.0,Khoa học quản lý QHX07,25.25,,12000000.0,
47.0,Lich sử QHX08,24.0,,16000000.0,
48.0,Lich sử QHX08,27.0,,16000000.0,
49.0,Lich sử QHX08,21.0,,16000000.0,
50.0,Lich sử QHX08,22.0,,16000000.0,
51.0,Lưu trữ học QHX09,22.5,,16000000.0,
52.0,Lưu trữ học QHX09,22.0,,16000000.0,
53.0,Lưu trữ học QHX09,23.5,,16000000.0,
54.0,Lưu trữ học QHX09,27.0,,16000000.0,
