STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Điều dưỡng 7720301,24.49,B00,27600000.0,
2.0,Điều dưỡng 7720301,,,27600000.0,
3.0,Dược học 7720201,25.1,A00,51000000.0,
4.0,Kỹ thuật hình ảnh y học 7720602,,,27600000.0,
5.0,Kỹ thuật xét nghiệm y học 7720601,,,27600000.0,
6.0,Kỹ thuật hình ảnh y học 7720602,24.49,B00,27600000.0,
7.0,Kỹ thuật xét nghiệm y học 7720601,24.83,B00,27600000.0,
8.0,Răng- Hàm -Mặt 7720501,27.0,B00,27600000.0,
9.0,Y khoa 7720101,27.15,B00,55000000.0,
10.0,Y khoa 7720101,,,55000000.0,
