STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Biên đạo múa 7210243,19.0,,,
2.0,Biên kịch điện ảnh. truyền hình 7210233,16.5,,,
3.0,Biên kịch sân khấu 7210225,,,,
4.0,Công nghệ điện ảnh. truyền hình 7210302,,,,
5.0,Đạo diễn điện ảnh. truyền hình 7210235,13.5,,,
6.0,Đạo diễn sân khấu 7210227,14.0,,,
7.0,Diễn viên sân khấu kịch hát 7210226,,,,
8.0,Diễn viên kịch. điện ảnh - truyền hình 7210234,14.0,,,
9.0,Huấn luyện múa 7210244,19.5,,,
10.0,Lý luận. lịch sử và phê bình điện ảnh. truyền hình 7210231,19.0,,,
11.0,Lý luận và phê bình sân khấu 7210221,,,,
12.0,Nhiếp ảnh 7210301,16.0,,,
13.0,Quay phim 7210236,15.5,,,
14.0,Thiết kế mỹ thuật sân khấu. điện ảnh 7210406,15.5,,,
