STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Chính trị học (Sư phạm Triết học) 7310201C,20.45,,,
2.0,Chính trị học (Sư phạm Triết học) 7310201B,26.0,,,
3.0,Công nghệ thông tin 7480201B,23.85,,,
4.0,Công nghệ thông tin 7480201A,23.9,,,
5.0,Công tác xã hội 7760101D,22.5,,,
6.0,Công tác xã hội 7760101C,24.25,,,
7.0,Giáo dục Quốc phòng - An ninh 7140208D,23.85,,,
8.0,Giáo dục Đặc biệt 7140203D,24.85,,,
9.0,Giáo dục Mầm non 7140201B,19.25,,,
10.0,Giáo dục công dân 7140204C,27.5,,,
11.0,Giáo dục Tiểu học 7140202A,26.15,,,
12.0,Giáo dục công dân 7140204B,27.5,,,
13.0,Giáo dục Mầm non 7140201C,19.13,,,
14.0,Giáo dục Mầm non 7140201A,22.08,,,
15.0,Giáo dục Quốc phòng – An ninh 7140208C,26.0,,,
16.0,Giáo dục chính trị 7140205C,28.5,,,
17.0,Giáo dục Đặc biệt 7140203C,27.5,,,
18.0,Giáo dục Thể chất 7140206A,19.55,,,
19.0,Giáo dục chính trị 7140205B,28.5,,,
20.0,Giáo dục Tiểu học 7140202B,26.55,,,
21.0,Hỗ trợ giáo dục người khuyết tật 7760103C,16.75,,,
22.0,Hỗ trợ giáo dục người khuyết tật 7760103D,17.75,,,
23.0,Hóa học phân tích môi trường 7440112A,20.05,,,
24.0,Hoá học 7440112B,19.7,,,
25.0,Ngôn ngữ Anh 7220201,26.35,,,
26.0,Ngôn ngữ Trung Quốc (Chuyên ngành Trung - Anh) 7220204A,26.05,,,
27.0,Ngôn ngữ Trung Quốc 7220204B,25.91,,,
28.0,Quản trị dịch vụ du lịch và lữ hành 7810103C,26.5,,,
29.0,Quản trị dịch vụ du lịch và lữ hành 7810103D,23.9,,,
30.0,Quản lí giáo dục 7140114D,24.06,,,
31.0,Quản lý giáo dục 7140114C,26.5,,,
32.0,Sinh học 7420101B,17.63,,,
33.0,Sinh học 7420101D,19.15,,,
34.0,SP Vật lý 7140211D,26.1,,,
35.0,Sư phạm Tiếng Anh 7140231A,27.39,,,
36.0,Sư phạm Lịch sử 7140218C,28.5,,,
37.0,Sư phạm Địa lý 7140219B,26.9,,,
38.0,Sư phạm hoá học 7140212C,26.0,,,
39.0,Sư phạm Tin học 7140210B,23.45,,,
40.0,Sư phạm Công nghệ 7140246C,19.3,,,
41.0,Sư phạm Tiếng Pháp 7140233D,25.31,,,
42.0,Sư phạm Âm nhạc 7140221A,19.13,,,
43.0,Sư phạm Sinh học (dạy Sinh bằng tiếng Anh) 7140213D,20.78,,,
44.0,Sư phạm Vật lý (đào tạo GV THCS) 7140211B,25.55,,,
45.0,Sư phạm Toán học 7140209B,27.7,,,
46.0,Sư phạm Tiếng Pháp 7140233C,23.51,,,
47.0,Sư phạm Địa lý 7140219C,27.75,,,
48.0,Sư phạm Sinh học (đào tạo GV THCS) 7140213B,23.63,,,
49.0,Sư phạm Vật lý 7140211C,25.9,,,
50.0,Sư phạm Vật lý (đào tạo GV THPT) 7140211A,25.35,,,
51.0,Sư phạm Toán học 7140209A,26.25,,,
52.0,Sư phạm Mỹ thuật 7140222B,21.0,,,
53.0,Sư phạm Lịch sử 7140218D,27.05,,,
54.0,Sư phạm Ngữ văn 7140217D,25.95,,,
55.0,Sư phạm Hóa học (đào tạo GV THCS) 7140212B,26.0,,,
56.0,Sư phạm Tin học (đào tạo giáo viên dạy Tin học bằng tiếng Anh) 7140210A,23.55,,,
57.0,Sư phạm Công nghệ 7140246A,19.15,,,
58.0,Sư phạm Âm nhạc 7140221B,18.38,,,
59.0,Sư phạm Ngữ văn 7140217C,28.5,,,
60.0,Sư phạm Hóa học (đào tạo GV THPT) 7140212A,25.8,,,
61.0,Sư phạm Toán học (dạy Toán bằng tiếng Anh) 7140209D,27.5,,,
62.0,Tâm lý học 7310401D,24.8,,,
63.0,Tâm lý học 7310401C,26.25,,,
64.0,Tâm lý học giáo dục 7310403D,25.5,,,
65.0,Tâm lý học giáo dục 7310403C,26.75,,,
66.0,Toán học 7460101D,24.55,,,
67.0,Toán học 7460101B,24.35,,,
68.0,Triết học 7229001B,23.5,,,
69.0,Triết học 7229001C,22.25,,,
70.0,Văn học 7229030D,25.2,,,
71.0,Văn học 7229030C,27.0,,,
72.0,Việt Nam học 7310630C,25.5,,,
73.0,Việt Nam học 7310630D,20.45,,,
