STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ kỹ thuật ô tô 7510205,17.0,"A00, A01, B00, D01",,
2.0,"Công nghệ kỹ thuật điện, điện tử 7510301",16.5,"A00, A01, B00, D01",,
3.0,Công nghệ thông tin 7480201,17.0,"A00, A01, B00, D01",,
4.0,Dược học 7720201,21.0,"A00, A11, B00, D07",,
5.0,Giáo dục học 7140101,16.5,"A00, C00, D01, D14",,
6.0,Kế toán 7340301,17.0,"A00, A01, B00, D01",,
7.0,Ngành Luật 7380101,17.0,"A00, A01, C00, D01",,
8.0,Ngôn ngữ Trung Quốc 7220204,17.0,"C00, D01, D14, D15",,
9.0,Ngôn ngữ Anh 7220201,17.0,"D01, D07, D14, D15",,
10.0,Quản trị khách sạn 7810201,17.0,"A00, A01, C00, D01",,
11.0,Quản trị văn phòng 7340406,17.0,"A00, A01, C00, D01",,
12.0,Quản trị Kinh doanh 7340101,17.0,"A00, A01, C00, D01",,
13.0,Việt Nam học 7310630,17.0,"A00, A01, C00, D01",,
