STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Cấp thoát nước TLA03,5.67,,,
2.0,Chương trình tiên tiến ngành Kỹ thuật tài nguyên nước TLA14,5.33,,,
3.0,Chương trình tiên tiến ngành Kỹ thuật xây dựng TLA13,5.39,,,
4.0,Kế toán TLA12,6.72,,,
5.0,Kinh tế TLA10,6.43,,,
6.0,Kỹ thuật hóa học TLA09,5.67,,,
7.0,Kỹ thuật phần mềm TLA07,6.18,,,
8.0,Kỹ thuật công trình biển TLA01,5.72,,,
9.0,Kỹ thuật môi trường TLA08,5.67,,,
10.0,Kỹ thuật cơ khí TLA05,6.32,,,
11.0,Kỹ thuật trắc địa - bản đồ TLA04,5.68,,,
12.0,Kỹ thuật điện. điện tử TLA06,6.5,,,
13.0,Quản trị kinh doanh TLA11,6.47,,,
14.0,Thuỷ văn TLA02,5.68,,,
