STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Báo chí 7320101,26.6,,,
2.0,Báo chí 7320101,25.6,,,
3.0,Bảo tàng học 7320305,16.0,,,
4.0,Bảo tàng học 7320305,17.0,,,
5.0,Du lịch - Văn hóa du lịch 7810101A,25.2,,,
6.0,"Du lịch - Lữ hành, Hướng dẫn du lịch 7810101B",25.7,,,
7.0,Du lịch - Hướng dẫn du lịch quốc tế 7810101C,32.4,,,
8.0,Du lịch - Văn hóa du lịch 7810101A,26.2,,,
9.0,"Du lịch - Lữ hành, Hướng dẫn du lịch 7810101B",26.7,,,
10.0,Kinh doanh xuất bản phẩm 7320402,20.0,,,
11.0,Kinh doanh xuất bản phẩm 7320402,19.0,,,
12.0,Ngành Luật 7380101,26.6,,,
13.0,Ngành Luật 7380101,25.6,,,
14.0,Ngôn ngữ Anh 7220201,35.1,,,
15.0,"Quản lý văn hóa, chuyên ngành (1) Quản lý hoạt động Văn hóa Xã hội 7229042A",24.1,,,
16.0,Quản lý nhà nước về gia đình 7229042B,16.0,,,
17.0,Quản trị dịch vụ du lịch và lữ hành 7810103,27.3,,,
18.0,Quản lý di sản văn hoá 7229042C,23.0,,,
19.0,Quản lý thông tin 7320205,25.0,,,
20.0,Quản lý nhà nước về gia đình 7229042B,15.0,,,
21.0,Quản lý thông tin 7320205,26.0,,,
22.0,"Quản lý văn hóa, chuyên ngành (1) Quản lý hoạt động Văn hóa Xã hội 7229042A",23.1,,,
23.0,Quản lý văn hoá - Tổ chức sự kiện văn hoá 7229042E,26.3,,,
24.0,Quản trị dịch vụ du lịch và lữ hành 7810103,26.3,,,
25.0,Quản lý di sản văn hoá 7229042C,22.0,,,
26.0,Thông tin - thư viện 7320201,20.0,,,
27.0,Thông tin - thư viện 7320201,19.0,,,
28.0,"Văn hóa học, chuyên ngành Văn hóa Việt Nam 7229040A",24.1,,,
29.0,Văn hoá học - Văn hoá truyền thông 7229040B,25.5,,,
30.0,Văn hoá các dân tộc thiểu số Việt Nam - Tổ chức và Quản lý văn hoá vùng dân tộc thiểu số 7220112A,15.0,,,
31.0,Văn hoá các dân tộc thiểu số Việt Nam - Tổ chức và Quản lý Du lịch vùng dân tộc thiểu số 7220112B,16.0,,,
32.0,Văn hoá học - Văn hoá truyền thông 7229040B,26.5,,,
33.0,Văn hoá các dân tộc thiểu số Việt Nam - Tổ chức và Quản lý văn hoá vùng dân tộc thiểu số 7220112A,16.0,,,
34.0,Văn hoá các dân tộc thiểu số Việt Nam - Tổ chức và Quản lý Du lịch vùng dân tộc thiểu số 7220112B,17.0,,,
35.0,"Văn hóa học, chuyên ngành Văn hóa Việt Nam 7229040A",25.1,,,
36.0,"Văn hóa học, chuyên ngành Truyền thông Văn hóa 7229040C",25.0,,,
37.0,"Văn hóa học, chuyên ngành Truyền thông Văn hóa 7229040C",26.0,,,
