STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Điều dưỡng chương trình tiên tiến (kết hợp chứng chỉ ngoại ngữ quốc tế) 7720301_AP,21.0,,,
2.0,Điều dưỡng phân hiệu Thanh Hóa 7720301YHT,19.0,,,
3.0,Điều dưỡng 7720301,24.0,,,
4.0,Dinh dưỡng 7720401,23.19,,,
5.0,Khúc xạ nhãn khoa 7720699,25.4,,,
6.0,Kỹ thuật phục hồi chức năng 7720603,22.7,,,
7.0,Kỹ thuật xét nghiệm y học 7720601,24.85,,,
8.0,Răng - Hàm - Mặt (kết hợp chứng chỉ ngoại ngữ quốc tế) 7720501_AP,25.5,,,
9.0,Răng- Hàm -Mặt 7720501,27.5,,,
10.0,Y khoa (kết hợp chứng chỉ Ngoại ngữ quốc tế) 7720101_AP,26.0,,,
11.0,Y khoa phân hiệu Thanh Hóa kết hợp chứng chỉ quốc tế 7720101YHT_AP,24.25,,,
12.0,Y học cổ truyền 7720115,24.77,,,
13.0,Y khoa phân hiệu Thanh Hóa 7720101YHT,26.39,,,
14.0,Y tế công cộng 7720701,20.7,,,
15.0,Y khoa 7720101,27.73,,,
16.0,Y học dự phòng 7720110,22.3,,,
