STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Y khoa (Nam - Miền Nam) 7720101|22A00,25.5,,,
2.0,Y khoa (Nam - Miền Bắc) 7720101|21A00,26.1,,,
3.0,Y học dự phòng (Nam - Miền Nam) 7720110|22B00,24.2,,,
4.0,Y khoa (Nữ - Miền Nam) 7720101|12B00,27.4,,,
5.0,Y khoa (Nữ - Miền Bắc) 7720101|11A00,28.3,,,
6.0,Y khoa (Nữ - Miền Nam) 7720101|12A00,27.4,,,
7.0,Y khoa (Nam - Miền Bắc) 7720101|21B00,26.1,,,
8.0,Y khoa (Nam - Miền Nam) 7720101|22B00,25.5,,,
9.0,Y học dự phòng (Nam - Miền Bắc) 7720110|21B00,23.55,,,
10.0,Y khoa (Nữ - Miền Bắc) 7720101|11B00,28.3,,,
