STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Chính trị học 7310201,16.0,,,
2.0,Công nghệ thông tin 7480201,16.0,,,
3.0,Giáo dục Tiểu học 7140202,26.04,,,
4.0,Kế toán 7340301,16.0,,,
5.0,Khoa học môi trường 7440301,16.0,,,
6.0,Khoa học cây trồng 7620110,16.0,,,
7.0,Kinh tế nông nghiệp 7620115,16.0,,,
8.0,Kỹ thuật xây dựng 7580201,16.0,,,
9.0,Ngành Luật 7380101,16.0,,,
10.0,Ngôn ngữ Trung Quốc 7220204,16.0,,,
11.0,Ngôn ngữ Anh 7220201,16.0,,,
12.0,Quản trị dịch vụ du lịch và lữ hành 7810103,16.0,,,
13.0,Quản trị doanh nghiệp 7340101,16.0,,,
14.0,Tài chính – Ngân hàng 7340201,16.0,,,
15.0,Thú y 7640101,16.0,,,
