STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,"Công nghệ kỹ thuật điện, điện tử 7510301",15.0,,,
2.0,Công nghệ kỹ thuật cơ khí (Chuyên ngành Công nghệ hàn) 7510201,14.0,,,
3.0,Công nghệ kỹ thuật ô tô 7510205,15.0,,,
4.0,Công nghệ kỹ thuật Môi trường 7510406,14.0,,,
5.0,Công nghệ kỹ thuật cơ điện tử 7510203,14.0,,,
6.0,Công nghệ thông tin 7480201,15.0,,,
7.0,Công nghệ chế tạo máy 7510202,14.0,,,
8.0,Công nghệ may 7540205,14.0,,,
9.0,Công nghệ kỹ thuật hoá học 7510401,14.0,,,
10.0,Kế toán 7340301,14.0,,,
11.0,Kinh tế 7310101,14.0,,,
12.0,Ngôn ngữ Anh 7220201,14.0,,,
13.0,Quản trị doanh nghiệp 7340101,14.0,,,
14.0,Sư phạm công nghệ 7140246,18.0,,,
15.0,Sư phạm Kỹ thuật công nghiệp 7140214,,,,
