STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ kỹ thuật xây dựng 7510103,15.5,,,Xét học bạ 18 điểm
2.0,Công nghệ thông tin 7480201,15.5,,,Xét học bạ 18 điểm
3.0,Điều dưỡng 7720301,15.5,,,Xét học bạ 18 điểm
4.0,Dinh dưỡng 7720401,15.5,,,Xét học bạ 18 điểm
5.0,Kế toán 7340301,15.5,,,Xét học bạ 18 điểm
6.0,Luật kinh tế 7380107,15.5,,,Xét học bạ 18 điểm
7.0,Quản trị doanh nghiệp 7340101,15.5,,,Xét học bạ 18 điểm
8.0,Quản lý đất đai 7850103,15.5,,,Xét học bạ 18 điểm
9.0,Tài chính – Ngân hàng 7340201,15.5,,,Xét học bạ 18 điểm
10.0,Thú y 7640101,,,,
