STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,15.0,"A00, A01, D01",,
2.0,Điện tử - viễn thông 7510302,15.0,"A00, A01, A02, D01",,
3.0,Giáo dục Thể chất 7140206,18.0,"T00, T01, T02, T03",,
4.0,Giáo dục Mầm non 7140201,26.4,"C00, C19, C20, D01",,
5.0,Giáo dục Mầm non 51140201,21.0,"C00, C10, C20, D01",,
6.0,Giáo dục Tiểu học 7140202,26.5,"A00, A01, C00, D01",,
7.0,Giáo dục Chính trị 7140205,24.15,"C00, C14, C20, D01",,
8.0,Hỗ trợ giáo dục người khuyết tật 7760103,15.0,"B03, C00, D01",,
9.0,Kế toán 7340301,15.0,"A00, A01, D01",,
10.0,Kinh tế 7310101,15.0,"A00, A01, D01",,
11.0,Kỹ thuật điện 7520201,15.0,"A00, A01, D01",,
12.0,Marketing 7340115,15.0,"A00, A01, D01",,
13.0,Ngôn ngữ Anh 7220201,15.0,"A01, D01, D09, D10",,
14.0,Quản trị Kinh doanh 7340101,15.0,"A01, D01",,
15.0,Quản trị văn phòng 7340406,15.0,"A00, A01, C00, D01",,
16.0,Sư phạm Tin học (Chuyên ngành Tin học – Công nghệ Tiểu học) 7140210,20.7,"A00, A01, D01",,
17.0,Sư phạm Ngữ văn 7140217,26.62,"C00, C03, D01, D14",,
18.0,Sư phạm Địa lý 7140219,26.85,"C00, C04, C20, D01",,
19.0,Sư phạm Toán học 7140209,25.11,"A00, A01, A02, D01",,
20.0,Sư phạm Lịch sử 7140218,26.35,"C00, C03, D14",,
21.0,Sư phạm khoa học tự nhiên 7140247,23.7,"A00, A02, B00, D01",,
22.0,Sư phạm Tiếng Anh 7140231,25.25,"D01, D14, D15",,
23.0,Tài chính – Ngân hàng 7340201,15.0,"A00, A01, D01",,
