STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ may 7540204,15.0,,,Điểm chuẩn học bạ: 18 điểm
2.0,"Công nghệ kỹ thuật điện, điện tử 7510301",14.0,,,Điểm chuẩn học bạ: 18 điểm
3.0,Công nghệ thực phẩm 7540101,14.0,,,Điểm chuẩn học bạ: 18 điểm
4.0,Công nghệ kỹ thuật cơ khí (Chuyên ngành Công nghệ hàn) 7510201,14.0,,,Điểm chuẩn học bạ: 18 điểm
5.0,Công nghệ thông tin 7480201,14.0,,,Điểm chuẩn học bạ: 18 điểm
6.0,Công nghệ kỹ thuật ô tô 7510205,15.0,,,Điểm chuẩn học bạ: 18 điểm
7.0,Điện tử - viễn thông 7510302,14.0,,,Điểm chuẩn học bạ: 18 điểm
8.0,Du lịch 7310630,14.0,,,Điểm chuẩn học bạ: 18 điểm
9.0,Kế toán 7340301,14.0,,,Điểm chuẩn học bạ: 18 điểm
10.0,Ngành Kỹ thuật điều khiển & Tự động hóa 7520216,14.0,,,Điểm chuẩn học bạ: 18 điểm
11.0,Ngôn ngữ Trung Quốc 7220204,14.0,,,Điểm chuẩn học bạ: 18 điểm
12.0,Ngôn ngữ Anh 7220201,14.0,,,Điểm chuẩn học bạ: 18 điểm
13.0,Quản trị doanh nghiệp 7340101,14.0,,,Điểm chuẩn học bạ: 18 điểm
