STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin (CLC) 7480201H114,22.75,,,
2.0,"Công nghệ thông tin, 7480201D114",25.15,,,
3.0,Công nghệ phần mềm 7480201D118,24.5,,,
4.0,Điện tự động công nghiệp 7520216D105,23.75,,,
5.0,Điện tự động công nghiệp (CLC) 7520216H105,19.5,,,
6.0,Điện tự động tàu thủy 7520216D103,18.0,,,
7.0,Điện tử viễn thông 7520207D104,23.0,,,
8.0,Điều khiển tàu biển 7840106D101,21.5,,,
9.0,Điều khiển tàu biển (Chọn) 7840106S101,14.0,,,
10.0,Đóng tàu và công trình ngoài khơi 7520122D108,14.0,,,
11.0,Khai thác máy tàu biển (Chọn) 7840106S102,14.0,,,
12.0,Khai thác máy tàu biển 7840106D102,18.0,,,
13.0,Kiến trúc dân dụng và công nghiệp 7580201D127,14.0,,,
14.0,Kinh doanh quốc tế và logistics 7340120A409,24.85,,,
15.0,Kinh tế ngoại thương (CLC) 7340120H402,24.35,,,
16.0,Kinh tế ngoại thương 7340120D402,25.75,,,
17.0,Kinh tế vận tải biển (CLC) 7840104H401,23.35,,,
18.0,Kinh tế Hàng hải 7840104A408,22.15,,,
19.0,Kinh tế vận tải thủy 7840104D410,24.25,,,
20.0,Kinh tế vận tải biển 7840104D401,25.35,,,
21.0,Kỹ thuật ôtô 7520103D122,24.75,,,
22.0,Kỹ thuật hóa dầu 7520320D126,14.0,,,
23.0,"Kỹ thuật môi trường, 7520320D115",20.0,,,
24.0,Kỹ thuật nhiệt lạnh 7520103D123,22.25,,,
25.0,Kỹ thuật truyền thông và mạng máy tính 7480201D119,23.75,,,
26.0,Kỹ thuật an toàn hàng hải 7580203D111,17.0,,,
27.0,Kỹ thuật cầu đường 7580205D113,14.0,,,
28.0,Kỹ thuật cơ điện tử 7520103D117,23.85,,,
29.0,"Kỹ thuật cơ khí, 7520103D116",23.0,,,
30.0,Logistics và chuỗi cung ứng 7840104D407,26.25,,,
31.0,Luật hàng hải 7380101D120,23.65,,,
32.0,Máy và tự động công nghiệp 7520103D128,21.35,,,
33.0,Máy tàu thủy 7520122D106,18.0,,,
34.0,Máy và tự động hóa xếp dỡ 7520103D109,18.0,,,
35.0,"Ngôn ngữ Anh, 7220201D125",34.25,,,Tiếng Anh nhân hệ số 2
36.0,Quản lý kỹ thuật công nghiệp 7520103D131,18.0,,,
37.0,"Quản trị kinh doanh, 7340101D403",25.0,,,
38.0,Quản lý hàng hải 7840106D129,24.0,,,
39.0,Quản lý công trình xây dựng 7580201D130,19.5,,,
40.0,Quản trị tài chính ngân hàng 7340101D411,24.4,,,
41.0,Quản lý kinh doanh và marketing 7340101A403,24.0,,,
42.0,Quản trị tài chính kế toán 7340101D404,24.5,,,
43.0,Thiết kế tàu và công trình ngoài khơi 7520122D107,14.0,,,
44.0,Tiếng Anh thương mại 7220201D124,34.75,,,Tiếng Anh nhân hệ số 2
45.0,Tự động hóa hệ thống điện 7520216D121,22.4,,,
46.0,Xây dựng dân dụng và công nghiệp 7580201D112,16.0,,,
47.0,Xây dựng công trình thủy 7580203D110,14.0,,,
