STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ kỹ thuật xây dựng 7510103,14.0,,,
2.0,Công nghệ kỹ thuật cơ điện tử 7510203,14.0,,,
3.0,Công nghệ thông tin 7480201,15.0,,,
4.0,Công nghệ chế tạo máy 7510202,14.0,,,
5.0,Du lịch 7310630,14.0,,,
6.0,Giáo dục Chính trị 7140205,18.5,,,
7.0,Giáo dục Thể chất 7140206,19.5,,,
8.0,Giáo dục Tiểu học 7140202,18.5,,,
9.0,Kế toán 7340301,15.0,,,
10.0,Kinh tế 7310101,15.0,,,
11.0,Ngôn ngữ Trung Quốc 7220204,20.0,,40000000.0,
12.0,Ngôn ngữ Anh 7220201,17.0,,,
13.0,Quản trị doanh nghiệp 7340101,14.0,,,
14.0,Sư phạm Toán học 7140209,18.5,,,
15.0,Sư phạm Tiếng Anh 7140231,19.5,,,
16.0,Sư phạm Ngữ văn 7140217,18.5,,,
17.0,Tài chính – Ngân hàng 7340201,14.0,,,
18.0,Văn học 7229030,14.0,,,
