STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Điều dưỡng 7720301,23.25,,,Môn 1>=8.25 Môn 2>=7 Môn 3>=8
2.0,Dược học (tổ hợp B00) 7720201B,25.95,,,Môn 1>=8.25 Môn 2>=9 Môn 3>=8.2
3.0,Dược học (D) 7720201D,26.05,,,Môn 1>=8. Môn 2>=8.4 Môn 3>=9.4
4.0,Dược học (tổ hợp A00) 7720201A,25.25,,,Môn 1>=8 Môn 2>=9 Môn 3>=8
5.0,Kỹ thuật xét nghiệm y học 7720601,25.05,,,Môn 1>=7.5 Môn 2>=8 Môn 3>=8.8
6.0,Răng- Hàm -Mặt 7720501,26.7,,,Môn 1>=8.75 Môn 2>=8.25 Môn 3>=9.2
7.0,Y khoa (A) 7720101A,25.8,,,Môn 1>=8.75 Môn 2>=8.8 Môn 3>=7.75
8.0,Y học dự phòng 7720110,22.35,,,Môn 1>=7 Môn 2>=7.5 Môn 3>=7.6
9.0,Y khoa (B) 7720101B,26.9,,,Môn 1>=7.75 Môn 2>=8 Môn 3>=8.4
10.0,Y học cổ truyền 7720115,24.35,,,Môn 1>=7.75 Môn 2>=8.5 Môn 3>=7.6
