STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Điều dưỡng 7720301,19.05,,14300000.0,
2.0,Dược học (D) 7720201D,24.3,,14300000.0,
3.0,Dược học (tổ hợp B00) 7720201B,25.3,,14300000.0,
4.0,Dược học (tổ hợp A00) 7720201A,25.1,,14300000.0,
5.0,Kỹ thuật xét nghiệm y học 7720601,23.45,,14300000.0,
6.0,Răng- Hàm -Mặt 7720501,26.0,,14300000.0,
7.0,Y khoa (A) 7720101A,25.6,,14300000.0,
8.0,Y học dự phòng 7720110,19.1,,14300000.0,
9.0,Y khoa (B) 7720101B,26.2,,14300000.0,
10.0,Y khoa (B) 7720101B,,,,
11.0,Y học cổ truyền 7720115,21.0,,14300000.0,
12.0,Y khoa (A) 7720101A,,,,
