STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,15.0,,,
2.0,Dinh dưỡng 7720401,15.0,,,
3.0,Dược C900107,12.0,,,
4.0,Kế toán C340301,12.0,,,
5.0,Kế toán 7340301,15.0,,,
6.0,Kinh tế quốc tế 7310106,15.0,,,
7.0,Ngôn ngữ Anh 7220201,15.0,,,
8.0,Quản trị dịch vụ du lịch và lữ hành 7304103,15.0,,,
9.0,Quản trị doanh nghiệp 7340101,15.0,,,
10.0,Tài chính - Ngân hàng C340201,12.0,,,
11.0,Tài chính – Ngân hàng 7340201,15.0,,,
12.0,Văn học 7220330,15.0,,,
13.0,Y khoa 7720101,20.0,,,
