STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ chế tạo máy 7510202,16.0,"A00, A01, C01, D07",,
2.0,Công nghệ thông tin chương trình đặc biệt 7810201A,20.0,"A01, D01, D07, D96",,
3.0,Công nghệ thực phẩm 7540101,17.5,"A01, D01, D07, D90",,
4.0,Công nghệ sinh học 7420201,16.0,"A00, A01, B00, D08",,
5.0,Công nghệ Sinh học chương trình Minh Phú 7420201MP,17.0,"A01, B00, D01, D07",,
6.0,Công nghệ thông tin 7480201A,20.0,"A01, D01, D07, D90",,
7.0,Công nghệ thông tin 7480201,21.0,"A01, D01, D07, D90",,
8.0,Công nghệ chế biến thuỷ sản (Chương trình Minh Phú - NTU) 7540105MP,17.0,"A01, B00, D01, D07",,
9.0,Công nghệ chế biến thủy sản 7540105,16.0,"A01, B00, D01, D07",,
10.0,ĐH Nuôi trồng thủy sản 7620301,16.0,"A01, B00, D01, D07",,
11.0,Hệ thống thông tin 7340405,17.0,"A01, D01, D07, D96",,
12.0,Kế toán 7340301A,20.0,"A01, D01, D07, D96",,
13.0,Kế toán 7340301,20.0,"D01, D14, D15, D96",,
14.0,Khoa học thuỷ sản 7620303,16.0,"A00, A01, B00, D07",,
15.0,Khoa học máy tính 7480101,20.0,"A01, D01, D07, D90",,
16.0,Kiểm toán 7340302,20.0,"D01, D14, D15, D96",,
17.0,Kinh tế phát triển 7310105,21.0,"D01, D14, D15, D96",,
18.0,Kinh doanh thương mại 7340121,22.0,"D01, D14, D15, D96",,
19.0,Kinh tế 7310101,21.0,"D01, D14, D15, D96",,
20.0,Kỹ thuật xây dựng công trình giao thông 7580205,16.0,"A01, D01, D07, D90",,
21.0,Kỹ thuật điện 7520201,18.5,"A01, D01, D07, D90",,
22.0,Kỹ thuật cơ điện tử 7520114,17.0,"A00, A01, C01, D07",,
23.0,Kỹ thuật hóa học 7520301,16.0,"A00, A01, B00, D07",,
24.0,Kỹ thuật cơ khí động lực 7520116,16.5,"A00, A01, C01, D90",,
25.0,"Kỹ thuật nhiệt (3 chuyên ngành: Kỹ thuật điện lạnh; Máy lạnh, điều hòa không khí và thông gió; Máy lạnh và thiết bị thực phẩm) 7520115",17.0,"A00, A01, C01, D07",,
26.0,Kỹ thuật biển 7520206,16.5,"A00, A01, C01, D90",,
27.0,Kỹ thuật xây dựng 7580201,17.0,"A01, D01, D07, D90",,
28.0,Kỹ thuật cơ khí 7520103,17.5,"A00, A01, C01, D07",,
29.0,Kỹ thuật ô tô 7520130,21.0,"A01, D01, D07, D90",,
30.0,Marketing 7340115,23.0,"D01, D14, D15, D96",,
31.0,Ngành Khoa học Hàng hải 7840106,21.0,"A01, D01, D07, D90",,
32.0,Ngành Kỹ thuật điều khiển & Tự động hóa 7520216,17.0,"A01, D01, D07, D90",,
33.0,Ngành Luật 7380101,21.0,"D01, D14, D15, D96",,
34.0,Ngành Kỹ thuật môi trường 7520320,16.0,"A00, A01, B00, B08",,
35.0,Ngành Kỹ thuật tàu thủy 7520122,16.5,"A00, A01, C01, D90",,
36.0,Ngôn ngữ Anh 7220201,23.0,"D01, D14, D15, D96",,
37.0,Nuôi trồng thuỷ sản (Chương trình Minh Phú - NTU) 7620301MP,17.0,"A01, B00, D01, D07",,
38.0,Quản trị khách sạn 7810201,21.0,"D01, D14, D15, D96",,
39.0,"Quản trị dịch vụ du lịch và lữ hành, chuyên ngành Quản trị lữ hành 7810103A",20.0,"A01, D01, D07, D96",,
40.0,Quản trị Kinh doanh 7340101,21.0,"D01, D14, D15, D96",,
41.0,Quản trị dịch vụ du lịch và lữ hành 7810103,21.0,"D01, D14, D15, D96",,
42.0,Quản trị kinh doanh 7340101A,20.0,"A01, D01, D07, D96",,
43.0,Quản trị dịch vụ du lịch và lữ hành Song ngữ Pháp - Việt 7810103Р,17.0,"D01, D03, D96, D97",,
44.0,Quản lý thủy sản 7620305,16.0,"A00, A01, B00, D07",,
45.0,Tài chính – Ngân hàng 7340201,21.0,"D01, D14, D15, D96",,
