STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Du lịch 7810101,15.1,"C00, D01, D14, D15",,
2.0,Hóa học 7440112,15.0,"A00, A01, B00, D07",,
3.0,Ngôn ngữ học 7229020,22.0,"D01, D04, D14, D15",,
4.0,Ngôn ngữ Anh 7220201A,16.6,"A01, D01, D14, D15",,
5.0,Ngôn ngữ Anh 7220201,19.5,"A01, D01, D14, D15",,
6.0,Quản trị kinh doanh 7340101C,16.0,"A01, D01, D14, D15",,
7.0,Quản trị Kinh doanh 7340101,16.2,"A01, D01, D14, D15",,
8.0,Quản trị khách sạn 7810201,17.4,"A01, D01, D14, D15",,
9.0,Quản trị dịch vụ du lịch và lữ hành 7810103,17.5,"A01, D01, D14, D15",,
10.0,Quản trị kinh doanh 7340101B,17.0,"A01, D01, D14, D15",,
11.0,Quản trị kinh doanh 7340101A,15.0,"A01, D01, D14, D15",,
12.0,Sinh học ứng dụng - dược liệu 7420203A,15.0,"A00, A01, B00, D07",,
13.0,Văn học 7229030,23.7,"C00, C19, C20, D01",,
14.0,Văn hoá học 7229040,20.1,"C00, C19, C20, D01",,
15.0,Việt Nam học (Văn hóa Du lịch) 7310630A,20.2,"C00, C19, C20, D01",,
