STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,21.0,,,Điểm chuẩn xét theo học bạ
2.0,Công nghệ thực phẩm 7540101,16.0,,,Điểm chuẩn xét theo học bạ
3.0,Công nghệ kỹ thuật Môi trường 7510406,15.0,,,Điểm chuẩn xét theo học bạ
4.0,Công nghệ kỹ thuật xây dựng 7510103,16.0,,,Điểm chuẩn xét theo học bạ
5.0,Công nghệ sinh học 7420201,15.0,,,Điểm chuẩn xét theo học bạ
6.0,ĐH Nuôi trồng thủy sản 7620301,15.0,,,Điểm chuẩn xét theo học bạ
7.0,Kế toán 7340301,20.0,,,Điểm chuẩn xét theo học bạ
8.0,Khoa học cây trồng 7620110,15.0,,,Điểm chuẩn xét theo học bạ
9.0,Ngôn ngữ Anh 7220201,19.0,,,Điểm chuẩn xét theo học bạ
10.0,Sư phạm Toán học 7140209,20.0,,,Điểm chuẩn xét theo học bạ (Học lực cả năm lớp 12 đạt loại giỏi trở lên)
