STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ sinh học 7420201,15.0,"A02, B00, B03, B08",,
2.0,Điều dưỡng 7720301,19.0,"A02, B00, B08",,
3.0,Kế toán 7340301,15.0,"A00, A01, D01, D07",,
4.0,Khoa học máy tính 7480101,15.0,"A00, A01, D01, D07",,
5.0,Kỹ thuật xét nghiệm y học 7720601,19.0,"A02, B00, B08",,
6.0,Ngành Kinh doanh quốc tế 7340120,15.0,"A00, A01, D01, D07",,
7.0,Ngôn ngữ Anh 7220201,15.0,"A01, D01, D07, D08",,
8.0,Quản trị Kinh doanh 7340101,15.0,"A00, A01, D01, D07",,
9.0,Tài chính – Ngân hàng 7340201,15.0,"A00, A01, D01, D07",,
10.0,Y khoa 7720101,22.5,"A02, B00, B08",,
