STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Chăn nuôi 7620105,15.0,,,
2.0,"Giáo dục Tiểu học, chương trình dạy và học bằng tiếng Anh 7140202_1",22.0,,,
3.0,Giáo dục Mầm non 51140201,17.0,,,
4.0,Giáo dục Tiểu học 7140202,25.75,,,
5.0,Giáo dục Mầm non 7140201,20.5,,,
6.0,Khoa học cây trồng 7620110,15.0,,,
7.0,Kinh tế 7310101,15.0,,,
8.0,Ngôn ngữ Trung Quốc 7220204,23.5,,,
9.0,Quản trị dịch vụ du lịch và lữ hành 7810103,19.0,,,
10.0,Quản lý tài nguyên và môi trường 7850101,15.0,,,
