STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,15.0,,,Xét dựa vào kết quả học tập ở THPT: 18
2.0,Công nghệ sinh học 7420201,15.0,,,Xét dựa vào kết quả học tập ở THPT: 18
3.0,Điều dưỡng C720501,12.0,,,Xét dựa vào kết quả học tập ở THPT: 16.5
4.0,Khoa học môi trường 7440301,15.0,,,Xét dựa vào kết quả học tập ở THPT: 18
5.0,Kiến trúc cảnh quan 7580102,10.0,,,Xét dựa vào kết quả học tập ở THPT: 11
6.0,Ngôn ngữ Anh 7220201,15.0,,,Xét dựa vào kết quả học tập ở THPT: 18
7.0,Quản trị doanh nghiệp 7340101,15.0,,,Xét dựa vào kết quả học tập ở THPT: 18
8.0,Quản trị kinh doanh C340101,12.0,,,Xét dựa vào kết quả học tập ở THPT: 16.5
9.0,Răng- Hàm -Mặt 7720501,15.0,,,Xét dựa vào kết quả học tập ở THPT: 18
10.0,Thiết kế nội thất 7210405,10.0,,,Xét dựa vào kết quả học tập ở THPT: 11
