STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,"Công nghệ kỹ thuật điện, điện tử 7510301",15.0,"A00, A01, C01",,
2.0,Công nghệ thông tin 7480201,15.0,"A00, A01, C01",,
3.0,Kế toán 7340301,15.0,"A00, A01, C01",,
4.0,Kỹ thuật xây dựng công trình giao thông 7580205,15.0,"A00, A01, C01",,
5.0,Kỹ thuật xây dựng 7580201,15.0,"A00, A01, C01",,
6.0,Ngôn ngữ Anh 7220201,15.0,"C00, D01, D07, D14",,
7.0,Quản trị Kinh doanh 7340101,15.0,"A00, A01, C01",,
8.0,Tài chính – Ngân hàng 7340201,15.0,"A00, A01, C01",,
9.0,Thú y 7640101,15.0,"A02, B00, B03",,
10.0,Y học cổ truyền 7720115,24.0,"A00, B00, D07, D08",,
