STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,18.0,,,
2.0,Công nghệ kỹ thuật điều khiển và tự động hóa 7510303,18.0,,,
3.0,Công nghệ chế tạo máy 7510202,18.0,,,
4.0,Công nghệ kỹ thuật cơ khí (Chuyên ngành Công nghệ hàn) 7510201,18.0,,,
5.0,"Công nghệ kỹ thuật điện, điện tử 7510301",18.0,,,
6.0,Công nghệ kỹ thuật cơ điện tử 7510203,18.0,,,
7.0,Công nghệ kỹ thuật ô tô 7510205,18.0,,,
8.0,Kế toán 7340301,18.0,,,
9.0,Khoa học máy tính 7480101,18.0,,,
10.0,Quản trị doanh nghiệp 7340101,18.0,,,
