STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ tài chính 7340205,20.0,"A00, A01, B00, D01",,
2.0,Công nghệ thông tin 7480201,17.0,"A00, A01, B00, D01",,
3.0,Kế toán 7340301,17.0,"A00, A01, B00, D01",,
4.0,Kinh tế số 7310109,18.0,"A00, A01, B00, D01",,
5.0,Kinh tế 7310101,17.0,"A00, A01, B00, D01",,
6.0,Lâm học 7620201,18.0,"A00, A01, B00, D01",,
7.0,Logistics và Quản lý chuỗi cung ứng 7510605,19.0,"A00, A01, B00, D01",,
8.0,Marketing 7340115,17.0,"A00, A01, B00, D01",,
9.0,Ngôn ngữ Anh 7220201,20.0,"A01, D01, D14, D15",,
10.0,Nông nghiệp 7620101,17.0,"A00, A01, B00, D01",,
11.0,Quản lý đất đai 7850103,17.0,"A00, A01, B00, D01",,
12.0,Quản trị Kinh doanh 7340101,17.0,"A00, A01, B00, D01",,
13.0,Tài chính – Ngân hàng 7340201,17.0,"A00, A01, B00, D01",,
14.0,Thú y 7640101,17.0,"A00, A01, B00, D01",,
15.0,Thương mại điện tử 7340122,19.0,"A00, A01, B00, D01",,
