STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,15.5,,,"Xét học bạ 18 điểm, không môn nào dưới 6 điểm"
2.0,"Công nghệ kỹ thuật điện, điện tử 7510301",15.5,,,"Xét học bạ 18 điểm, không môn nào dưới 6 điểm"
3.0,Công nghệ kỹ thuật nhiệt 7510206,15.5,,,"Xét học bạ 18 điểm, không môn nào dưới 6 điểm"
4.0,Công nghệ kỹ thuật hoá học 7510401,15.5,,,"Xét học bạ 18 điểm, không môn nào dưới 6 điểm"
5.0,Công nghệ thực phẩm 7540101,15.5,,,"Xét học bạ 18 điểm, không môn nào dưới 6 điểm"
6.0,Công nghệ kỹ thuật điều khiển và tự động hóa 7510303,15.5,,,"Xét học bạ 18 điểm, không môn nào dưới 6 điểm"
7.0,Kế toán 7340301,15.5,,,"Xét học bạ 18 điểm, không môn nào dưới 6 điểm"
8.0,Quản trị khách sạn 7810201,15.5,,,"Xét học bạ 18 điểm, không môn nào dưới 6 điểm"
9.0,Quản lý công nghiệp 7510601,15.5,,,"Xét học bạ 18 điểm, không môn nào dưới 6 điểm"
10.0,Quản trị dịch vụ du lịch và lữ hành 7810103,15.5,,,"Xét học bạ 18 điểm, không môn nào dưới 6 điểm"
