STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Báo chí 7320101,15.5,,,
2.0,Chính trị học 7310201,15.0,,,
3.0,"Công nghệ kỹ thuật điện, điện tử 7510301",15.0,,,
4.0,Công nghệ thực phẩm 7540101,15.0,,,
5.0,Công nghệ kỹ thuật hoá học 7510401,15.0,,,
6.0,Công nghệ thông tin 7480201,15.5,,,
7.0,Công tác xã hội 7760101,15.0,,,
8.0,ĐH Nuôi trồng thủy sản 7620301,15.0,,,
9.0,Giáo dục Quốc phòng - An ninh 7140208,15.0,,,
10.0,Giáo dục Chính trị 7140205,15.0,,,
11.0,Giáo dục Tiểu học 7140202,23.0,,,
12.0,Giáo dục Thể chất 7140206,23.0,,,"Điểm môn Năng khiếu nhân hệ số 2; Điểm môn Toán, Sinh từ 3.0 điểm trở lên"
13.0,Giáo dục Mầm non 7140201,26.5,,,"Điểm môn Năng khiếu nhân hệ số 2; Điểm môn Toán, Văn hoặc Toán, Tiếng Anh từ 3.0 điểm trở lên"
14.0,Kế toán 7340301,18.5,,,
15.0,Khoa học môi trường 7440301,15.0,,,
16.0,Kĩ thuật xây dựng 7580208,15.0,,,
17.0,Kinh tế 7310101,15.0,,,
18.0,Kinh tế nông nghiệp 7620115,15.0,,,
19.0,Kỹ thuật xây dựng công trình giao thông 7580205,15.0,,,
20.0,Luật kinh tế 7380107,18.0,,,
21.0,Ngành Kỹ thuật điện tử truyền thông 7520207,15.0,,,
22.0,Ngành Luật 7380101,18.5,,,
23.0,Ngành Kỹ thuật điều khiển & Tự động hóa 7520216,15.0,,,
24.0,Ngôn ngữ Anh 7220201,22.0,,,"Điểm môn Tiếng Anh nhân hệ số 2 và tổng điểm chưa nhân hệ số (kể cả khu vực, đối tượng ưu tiên) đạt từ 15.0 trở lên"
25.0,Nông học 7620109,15.0,,,
26.0,Quản lý tài nguyên và môi trường 7850101,15.0,,,
27.0,Quản lý giáo dục 7140114,15.0,,,
28.0,Quản lý đất đai 7850103,15.0,,,
29.0,Quản trị doanh nghiệp 7340101,16.0,,,
30.0,Quản lí văn hoá 7220342,15.0,,,
31.0,Sư phạm Sinh học 7140213,20.5,,,
32.0,Sư phạm Tin học (Chuyên ngành Tin học – Công nghệ Tiểu học) 7140210,15.0,,,
33.0,Sư phạm Toán học 7140209,23.0,,,
34.0,Sư phạm Địa lý 7140219,21.0,,,
35.0,Sư phạm Hóa học 7140212,22.5,,,
36.0,Sư phạm Ngữ văn 7140217,22.5,,,
37.0,Sư phạm Lịch sử 7140218,20.0,,,
38.0,Sư phạm Tiếng Anh 7140231,27.92,,,"Điểm môn Tiếng Anh nhân hệ số 2 và tổng điểm chưa nhân hệ số (kể cả khu vực, đối tượng ưu tiên) đạt từ 15.0 trở lên"
39.0,Sư phạm Vật lý 7140211,21.5,,,
40.0,Tài chính – Ngân hàng 7340201,15.5,,,
41.0,Việt Nam học 7220113,16.0,,,
