STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Cao đẳng Kế toán 51140301,,,,TN THPT
2.0,Du lịch 7810101,15.0,,,
3.0,Du lịch 7310630,13.5,,,
4.0,Giáo dục mầm non 51140101,16.0,,,
5.0,Giáo dục Mầm non 7140201,18.0,,,
6.0,Giáo dục Tiểu học 51140202,16.0,,,
7.0,Giáo dục Chính trị 7140205,,,,
8.0,Giáo dục Tiểu học 7140202,18.0,,,
9.0,Kế toán 7340301,13.5,,,
10.0,Quản trị doanh nghiệp 7340101,13.5,,,
11.0,Sư phạm Toán học 7140209,18.0,,,
12.0,Sư phạm Tin học (Chuyên ngành Tin học – Công nghệ Tiểu học) 7140210,18.0,,,
13.0,Sư phạm Ngữ văn 7140217,18.0,,,
