STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Chăn nuôi 7620105,15.5,,,
2.0,Công nghệ thông tin 7480201,,,,
3.0,Công tác xã hội 7760101,15.5,,,
4.0,Công nghệ sinh học 7420201,,,,
5.0,"Công nghệ kỹ thuật điện, điện tử 7510301",15.5,,,
6.0,Công nghệ kỹ thuật cơ khí (Chuyên ngành Công nghệ hàn) 7510201,15.5,,,
7.0,Du lịch 7810101,,,,
8.0,Du lịch 7310630,15.5,,,
9.0,Giáo dục Tiểu học 7140202,18.0,,,
10.0,Giáo dục Thể chất 7140206,,,,
11.0,Giáo dục Mầm non 7140201,,,,
12.0,Kế toán 7340301,16.0,,,
13.0,Khoa học cây trồng 7620110,15.5,,,
14.0,Kinh tế 7310101,15.5,,,
15.0,Kinh tế nông nghiệp 7620115,15.5,,,
16.0,Ngôn ngữ Trung Quốc 7220204,15.5,,,
17.0,Ngôn ngữ Anh 7220201,15.5,,,
18.0,Quản trị dịch vụ du lịch và lữ hành 7810103,17.0,,,
19.0,Quản trị doanh nghiệp 7340101,15.5,,,
20.0,Sư phạm Ngữ văn 7140217,15.5,,,
21.0,Sư phạm Địa lý 7140219,15.5,,,
22.0,Sư phạm Lịch sử 7140218,15.5,,,
23.0,Sư phạm Tiếng Anh 7140231,15.5,,,
24.0,Sư phạm Toán học 7140209,15.5,,,
25.0,Sư phạm Âm nhạc 7140221,,,,
26.0,Tài chính – Ngân hàng 7340201,15.5,,,
27.0,Thiết kế đồ họa 7210403,,,,
28.0,Thú y 7640101,15.5,,,
