STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,13.0,,,Điểm chuẩn học bạ: 15
2.0,Công nghệ kỹ thuật Môi trường 7510406,13.0,,,Điểm chuẩn học bạ: 15
3.0,Công nghệ kỹ thuật cơ khí (Chuyên ngành Công nghệ hàn) 7510201,13.0,,,Điểm chuẩn học bạ: 15
4.0,Công nghệ kỹ thuật hoá học 7510401,13.0,,,Điểm chuẩn học bạ: 15
5.0,Công nghệ sinh học 7420201,13.0,,,Điểm chuẩn học bạ: 15
6.0,Công nghệ kỹ thuật điều khiển và tự động hóa 7510303,13.0,,,Điểm chuẩn học bạ: 15
7.0,"Công nghệ kỹ thuật điện, điện tử 7510301",13.0,,,Điểm chuẩn học bạ: 15
8.0,Hóa học 7440112,13.0,,,Điểm chuẩn học bạ: 15
9.0,Kế toán 7340301,13.0,,,Điểm chuẩn học bạ: 15
10.0,Ngôn ngữ Anh 7220201,13.0,,,Điểm chuẩn học bạ: 15
11.0,Quản trị doanh nghiệp 7340101,13.0,,,Điểm chuẩn học bạ: 15
