STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,,,,
2.0,Du lịch 7310630,,,,
3.0,Giáo dục Mầm non 51140201,,,,
4.0,Giáo dục Tiểu học 7140202,20.5,,,
5.0,Giáo dục Mầm non 7140201,20.0,,,
6.0,Hóa học 7440112,,,,
7.0,Ngôn ngữ Anh 7220201,,,,
8.0,Sinh hoc 7420101,,,,
9.0,Sư phạm Mỹ thuật 51140222,,,,
10.0,Sư phạm Hóa học 7140212,,,,
11.0,Sư phạm Tiếng Anh 7140231,17.0,,,
12.0,Sư phạm Ngữ văn 7140217,15.75,,,
13.0,Sư phạm Sinh học 7140213,,,,
14.0,Sư phạm Lịch sử 7140218,,,,
15.0,Sư phạm Âm nhạc (cao đẳng) 51140221,,,,
16.0,Sư phạm Tin học (Chuyên ngành Tin học – Công nghệ Tiểu học) 7140210,,,,
17.0,Sư phạm Toán học 7140209,15.5,,,
18.0,Văn học 7229030,,,,
19.0,Vật lý học 7440102,,,,
