STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Chuyên ngành thanh tra 7380101-01,15.0,,,Phân hiệu Quảng Nam
2.0,Chuyên ngành Văn hóa Du lịch 7229040-01,18.0,,,Phân hiệu Quảng Nam
3.0,Chuyên ngành thanh tra 7380101-01,16.0,,,Phân hiệu Quảng Nam
4.0,Chuyên ngành Chính sách công thuộc ngành chính trị học 7320303-01,18.25,,,Phân hiệu Quảng Nam
5.0,Chuyên ngành Chính sách công thuộc ngành chính trị học 7320303-01,17.25,,,Phân hiệu Quảng Nam
6.0,Chuyên ngành Văn hóa Du lịch 7229040-01,19.0,,,Phân hiệu Quảng Nam
7.0,Ngành Luật 7380101,16.0,,,Phân hiệu Quảng Nam
8.0,Ngành Luật 7380101,15.0,,,Phân hiệu Quảng Nam
9.0,Quản trị nhân lực 7340404,16.0,,,Phân hiệu Quảng Nam
10.0,Quản trị văn phòng 7340406,16.0,,,Phân hiệu Quảng Nam
11.0,Quản lý nhà nước 7310205,16.5,,,Phân hiệu Quảng Nam
12.0,Quản trị văn phòng 7340406,15.0,,,Phân hiệu Quảng Nam
13.0,Quản lý nhà nước 7310205,15.5,,,Phân hiệu Quảng Nam
14.0,Quản trị nhân lực 7340404,15.0,,,Phân hiệu Quảng Nam
