STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ kỹ thuật cơ khí (Chuyên ngành Công nghệ hàn) 7510201,15.0,A00,,
2.0,Công nghệ thông tin 7480201,15.0,A00,,
3.0,Giáo dục Mầm non 51140201,24.0,M01,,
4.0,Giáo dục Tiểu học 7140202,25.7,A00,,
5.0,Kinh tế phát triển 7310105,15.0,C04,,
6.0,Kỹ thuật cơ điện tử 7520114,15.0,A00,,
7.0,Marketing 7340115,15.0,C04,,
8.0,Quản trị Kinh doanh 7340101,15.0,C04,,
9.0,Sư phạm Toán học 7140209,24.4,A00,,
10.0,Sư phạm khoa học tự nhiên 7140247,23.5,A00,,
11.0,Sư phạm Tiếng Anh 7140231,24.5,D01,,
12.0,Sư phạm Vật lý 7140211,23.6,A00,,
13.0,Sư phạm Ngữ văn 7140217,26.6,C00,,
14.0,Sư phạm Tin học (Chuyên ngành Tin học – Công nghệ Tiểu học) 7140210,22.4,A00,,
