STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,15.0,,,
2.0,ĐH Nuôi trồng thủy sản 7620301,15.0,,,
3.0,Giáo dục Tiểu học 7140202,23.0,,,
4.0,Giáo dục Mầm non 51140201,15.0,,,
5.0,Giáo dục Mầm non 7140201,20.0,,,
6.0,Khoa học máy tính 7480101,15.0,,,
7.0,Ngôn ngữ Anh 7220201,15.0,,,
8.0,Ngôn ngữ Nhật 7220209,15.0,,,
9.0,Ngôn ngữ Trung Quốc 7220204,18.0,,,
10.0,Ngôn ngữ Hàn Quốc 7220210,15.0,,,
11.0,Quản lý tài nguyên và môi trường 7850101,15.0,,,
12.0,Quản trị khách sạn 7810201,15.0,,,
13.0,Quản trị doanh nghiệp 7340101,15.0,,,
14.0,Quản trị dịch vụ du lịch và lữ hành 7810103,15.0,,,
15.0,Quản trị nhà hàng và dịch vụ ăn uống 7810202,15.0,,,
16.0,Quản lý văn hoá 7229042,15.0,,,
17.0,Thiết kế đồ họa 7210403,15.0,,,
18.0,Văn học 7229030,15.0,,,
