STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bảo vệ thực vật 7620112,14.0,,,
2.0,Chăn nuôi 7620105,14.0,,,
3.0,Công nghệ thông tin 7480201,14.0,,,
4.0,Giáo dục Thể chất 7140206,18.0,,,Môn năng khiếu > =6.5
5.0,Giáo dục Tiểu học 51140202,16.0,,,
6.0,Giáo dục Mầm non 7140201,18.0,,,Môn năng khiếu > =6.5
7.0,Giáo dục Mầm non 51140201,16.0,,,Môn năng khiếu > =6
8.0,Giáo dục Chính trị 7140205,18.0,,,
9.0,Giáo dục Tiểu học 7140202,18.0,,,
10.0,Kế toán 7340301,14.0,,,
11.0,Lâm sinh 7620205,14.0,,,
12.0,Nông học 7620109,14.0,,,
13.0,Quản trị doanh nghiệp 7340101,14.0,,,
14.0,Quản trị dịch vụ du lịch và lữ hành 7810103,14.0,,,
15.0,Quản lý tài nguyên và môi trường 7850101,14.0,,,
16.0,Quản lý tài nguyên rừng 7620211,14.0,,,
17.0,Sư phạm Toán học 7140209,18.0,,,
18.0,Sư phạm Địa lý 7140219,18.0,,,
19.0,Sư phạm Vật lý 7140211,18.0,,,
20.0,Sư phạm Sinh học 7140213,18.0,,,
21.0,Sư phạm Tin học (Chuyên ngành Tin học – Công nghệ Tiểu học) 7140210,18.0,,,
22.0,Sư phạm Tiếng Anh 7140231,18.0,,,
23.0,Sư phạm Lịch sử 7140218,18.0,,,
24.0,Sư phạm Hóa học 7140212,18.0,,,
25.0,Sư phạm Ngữ văn 7140217,18.0,,,
