STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,An toàn thông tin 7480202,25.05,,23944000.0,
2.0,"Công nghệ kỹ thuật điện, điện tử 7510301",19.0,,23944000.0,
3.0,Công nghệ thông tin 7480201,25.85,,23944000.0,
4.0,Công nghệ đa phương tiện 7329001,24.25,,23944000.0,
5.0,Kế toán 7340301,22.9,,22217000.0,
6.0,Kỹ thuật Điều khiển và tự động hóa 7520226,19.05,,23944000.0,
7.0,Kỹ thuật điện và công nghệ thông tin 7520208 (trước 2023),20.7,,23944000.0,
8.0,Marketing (dạy bằng tiếng Anh) 7340115,24.85,,21755000.0,
9.0,Ngành Kỹ thuật điện tử truyền thông 7520207,21.0,,23944000.0,
10.0,Quản trị doanh nghiệp 7340101,21.7,,22217000.0,
