STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,An toàn thông tin 7480202,15.0,,,
2.0,Công nghệ sinh học 7420201,16.5,,,
3.0,Công nghệ kỹ thuật Môi trường 7510406,17.0,,,
4.0,Công nghệ thông tin 7480201,19.0,,,
5.0,"Công nghệ kỹ thuật điện, điện tử 7510301",16.0,,,
6.0,Công nghệ chế biến thủy sản 7540105,15.0,,,
7.0,Công nghệ kỹ thuật điều khiển và tự động hóa 7510303,16.0,,,
8.0,Công nghệ kỹ thuật hoá học 7510401,16.0,,,
9.0,Công nghệ kỹ thuật cơ điện tử 7510203,16.0,,,
10.0,Công nghệ vật liệu 7510402,17.0,,,
11.0,Công nghệ thực phẩm 7540101,22.5,,,
12.0,Công nghệ may 7540204,17.0,,,
13.0,Công nghệ chế tạo máy 7510202,16.0,,,
14.0,Đảm bảo Chất lượng và ATTP 7540110,17.0,,,
15.0,Kế toán 7340301,20.0,,,
16.0,Khoa học thuỷ sản 7620303,17.0,,,
17.0,Khoa học chế biến món ăn 7720498,16.5,,,
18.0,Khoa học dinh dưỡng và ẩm thực 7720499,17.0,,,
19.0,Luật kinh tế 7380107,19.0,,,
20.0,Ngành Kinh doanh quốc tế 7340120,20.0,,,
21.0,Ngôn ngữ Trung Quốc 7220204,20.5,,,
22.0,Ngôn ngữ Anh 7220201,22.0,,,
23.0,Quản lý tài nguyên và môi trường 7850101,17.0,,,
24.0,Quản trị nhà hàng và dịch vụ ăn uống 7810202,22.0,,,
25.0,Quản trị khách sạn 7810201,18.0,,,
26.0,Quản trị dịch vụ du lịch và lữ hành 7810103,19.0,,,
27.0,Quản trị doanh nghiệp 7340101,22.0,,,
28.0,Tài chính – Ngân hàng 7340201,20.0,,,
