STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ sau thu hoạch 7540104,22.0,,,
2.0,Công nghệ kỹ thuật xây dựng 7510103,20.0,,,
3.0,Công nghệ thông tin 7480201,14.0,,,
4.0,Kế toán 7340301,14.0,,,
5.0,Ngôn ngữ Trung Quốc 7220204,14.0,,,
6.0,Ngôn ngữ Nhật 7220209,14.0,,,
7.0,Ngôn ngữ Anh 7220201,14.0,,,
8.0,Quản lý bệnh viện 7720802,14.0,,,
9.0,Quản trị doanh nghiệp 7340101,14.0,,,
10.0,Quản trị dịch vụ du lịch và lữ hành 7810103,14.0,,,
11.0,Tài chính – Ngân hàng 7340201,14.0,,,
