STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,An toàn thông tin 7480202,16.0,,,
2.0,Công nghệ kỹ thuật ô tô 7510205,16.0,,,
3.0,Công nghệ sinh học 7420201,16.0,,,
4.0,Công nghệ thông tin 7480201,17.0,,,
5.0,Công nghệ may 7540204,16.0,,,
6.0,Công nghệ thực phẩm 7540101,16.0,,,
7.0,Đông phương học 7310608,16.0,,,
8.0,Dược học 7720201,18.0,,,
9.0,Hệ thống thông tin 7340405,16.0,,,
10.0,Kế toán 7340301,16.0,,,
11.0,Kiến trúc 7580101,16.0,,,
12.0,Kinh tế xây dựng 7580301,16.0,,,
13.0,Kỹ thuật xây dựng công trình giao thông 7580205,16.0,,,
14.0,Kỹ thuật cơ điện tử 7520114,16.0,,,
15.0,Kỹ thuật y sinh 7520212,16.0,,,
16.0,Kỹ thuật cơ khí 7520103,16.0,,,
17.0,Kỹ thuật xây dựng 7580201,16.0,,,
18.0,Kỹ thuật điện 7520201,16.0,,,
19.0,Luật kinh tế 7380107,16.0,,,
20.0,Marketing (dạy bằng tiếng Anh) 7340115,20.0,,,
21.0,Ngành Kinh doanh quốc tế 7340120,19.0,,,
22.0,Ngành Kỹ thuật điều khiển & Tự động hóa 7520216,16.0,,,
23.0,Ngành Kỹ thuật môi trường 7520320,16.0,,,
24.0,Ngành Kỹ thuật điện tử truyền thông 7520207,16.0,,,
25.0,Ngôn ngữ Nhật 7220209,16.0,,,
26.0,Ngôn ngữ Anh 7220201,16.0,,,
27.0,Quản trị nhà hàng và dịch vụ ăn uống 7810202,16.0,,,
28.0,Quản trị doanh nghiệp 7340101,17.0,,,
29.0,Quản lý xây dựng 7580302,16.0,,,
30.0,Quản trị khách sạn 7810201,17.0,,,
31.0,Quản trị dịch vụ du lịch và lữ hành 7810103,16.0,,,
32.0,Tài chính – Ngân hàng 7340201,16.0,,,
33.0,Tâm lý học 7310401,16.0,,,
34.0,Thiết kế thời trang 7210404,16.0,,,
35.0,Thiết kế nội thất 7580108,16.0,,,
36.0,Thiết kế đồ họa 7210403,16.0,,,
37.0,Thú y 7640101,16.0,,,
38.0,Truyền thông đa phương tiện 7320104,16.0,,,
